T_C,P_sat_kPa,v_f_m3_kg,v_g_m3_kg,u_f_kJ_kg,u_fg_kJ_kg,u_g_kJ_kg,h_f_kJ_kg,h_fg_kJ_kg,h_g_kJ_kg,s_f_kJ_kg_K,s_fg_kJ_kg_K,s_g_kJ_kg_K
-40,51.25,0.0007053,0.36064,-0.036,207.42,207.38,0.00,225.86,225.86,0.00000,0.96869,0.96869
-38,56.86,0.0007082,0.32718,2.472,206.06,208.53,2.512,224.62,227.13,0.01071,0.95516,0.96588
-36,62.95,0.0007111,0.29740,4.987,204.69,209.68,5.032,223.37,228.40,0.02137,0.94182,0.96319
-34,69.56,0.0007141,0.27082,7.509,203.32,210.83,7.559,222.10,229.66,0.03196,0.92867,0.96063
-32,76.71,0.0007171,0.24706,10.04,201.94,211.97,10.09,220.83,230.93,0.04249,0.91569,0.95819
-30,84.43,0.0007201,0.22577,12.58,200.55,213.12,12.64,219.55,232.19,0.05297,0.90289,0.95586
-28,92.76,0.0007232,0.20666,15.12,199.15,214.27,15.19,218.25,233.44,0.06339,0.89024,0.95364
-26,101.73,0.0007264,0.18947,17.67,197.75,215.42,17.75,216.95,234.70,0.07376,0.87776,0.95152
-24,111.37,0.0007296,0.17398,-0.23,196.34,216.57,20.31,215.63,235.94,0.08408,0.86542,0.94950
-22,121.72,0.0007328,0.15999,22.80,194.92,217.71,22.89,214.30,237.19,0.09435,0.85323,0.94758
-20,132.82,0.0007361,0.14735,25.37,193.49,218.86,25.47,212.96,238.43,0.10456,0.84119,0.94575
-18,144.69,0.0007394,0.13589,27.96,192.05,220.00,28.07,211.60,239.67,0.11473,0.82927,0.94401
-16,157.38,0.0007428,0.12550,30.55,190.60,221.15,30.67,210.23,240.90,0.12486,0.81749,0.94234
-14,170.93,0.0007463,0.11605,33.15,189.14,222.29,33.28,208.84,242.12,0.13493,0.80583,0.94076
-12,185.37,0.0007498,0.10744,35.76,187.66,223.42,35.90,207.44,243.34,0.14497,0.79429,0.93925
-10,200.74,0.0007533,0.099600,38.38,186.18,224.56,38.53,206.02,244.55,0.15496,0.78286,0.93782
-8,217.08,0.0007570,0.092438,41.01,184.69,225.69,41.17,204.59,245.76,0.16491,0.77154,0.93645
-6,234.44,0.0007607,0.085888,43.64,183.18,226.82,43.82,203.14,246.95,0.17482,0.76033,0.93514
-4,252.85,0.0007644,0.079889,46.29,181.66,227.94,46.48,201.66,248.14,0.18469,0.74921,0.93390
-2,272.36,0.0007683,0.074388,48.94,180.12,229.07,49.15,200.17,249.33,0.19452,0.73819,0.93271
0,293.01,0.0007722,0.069335,51.61,178.58,230.18,51.83,198.67,250.50,0.20432,0.72726,0.93158
