T_F,P_sat_psia,v_f_ft3_lbm,v_g_ft3_lbm,u_f_Btu_lbm,u_fg_Btu_lbm,u_g_Btu_lbm,h_f_Btu_lbm,h_fg_Btu_lbm,h_g_Btu_lbm,s_f_Btu_lbm_R,s_fg_Btu_lbm_R,s_g_Btu_lbm_R
-40,7.432,0.01130,5.7769,-0.016,89.174,89.16,0.000,97.104,97.10,0.00000,0.23136,0.23136
-35,8.581,0.01136,5.0489,1.483,88.360,89.84,1.501,96.360,97.86,0.00355,0.22689,0.23044
-30,9.869,0.01143,4.4286,2.987,87.542,90.53,3.008,95.608,98.62,0.00707,0.22250,0.22957
-25,11.306,0.01149,3.8980,4.497,86.717,91.21,4.522,94.849,99.37,0.01057,0.21819,0.22876
-20,12.906,0.01156,3.4424,6.014,85.887,91.90,6.041,94.080,100.12,0.01404,0.21396,0.22800
-15,14.680,0.01163,3.0495,7.536,85.050,92.59,7.568,93.303,100.87,0.01748,0.20981,0.22729
-10,16.642,0.01170,2.7097,9.065,84.206,93.27,9.102,92.515,101.62,0.02090,0.20572,0.22662
-5,18.806,0.01178,2.4146,10.601,83.355,93.96,10.642,91.717,102.36,0.02430,0.20171,0.22600
0,21.185,0.01185,2.1575,12.143,82.496,94.64,12.190,90.907,103.10,0.02767,0.19775,0.22542
5,23.793,0.01193,1.9328,13.693,81.628,95.32,13.745,90.085,103.83,0.03103,0.19385,0.22488
10,26.646,0.01200,1.7358,15.249,80.751,96.00,15.308,89.251,104.56,0.03436,0.19001,0.22437
15,29.759,0.01208,1.5625,16.813,79.865,96.68,16.879,88.403,105.28,0.03767,0.18623,0.22390
20,33.147,0.01216,1.4097,18.384,78.969,97.35,18.459,87.541,106.00,0.04097,0.18249,0.22345
25,36.826,0.01225,1.2746,19.963,78.062,98.03,20.047,86.665,106.71,0.04424,0.17880,0.22304
30,40.813,0.01233,1.1548,21.550,77.144,98.69,21.643,85.772,107.42,0.04750,0.17515,0.22265
35,45.124,0.01242,1.0482,23.145,76.214,99.36,23.249,84.863,108.11,0.05074,0.17154,0.22228
40,49.776,0.01251,0.95323,24.749,75.272,100.02,24.864,83.937,108.80,0.05397,0.16797,0.22194
45,54.787,0.01261,0.86837,26.361,74.317,100.68,26.489,82.993,109.48,0.05718,0.16443,0.22162
50,60.175,0.01270,0.79236,27.983,73.347,101.33,28.124,82.029,110.15,0.06038,0.16093,0.22131
55,65.957,0.01280,0.72414,29.614,72.363,101.98,29.770,81.046,110.82,0.06357,0.15746,0.22103
60,72.152,0.01290,0.66277,31.254,71.364,102.62,31.426,80.041,111.47,0.06674,0.15401,0.22075
65,78.780,0.01301,0.60744,32.904,70.348,103.25,33.094,79.014,112.11,0.06991,0.15058,0.22049
70,85.858,0.01311,0.55746,34.565,69.315,103.88,34.773,77.964,112.74,0.07306,0.14718,0.22024
75,93.408,0.01323,0.51222,36.237,68.264,104.50,36.465,76.889,113.35,0.07621,0.14379,0.22000
80,101.45,0.01334,0.47119,37.920,67.193,105.11,38.170,75.788,113.96,0.07934,0.14042,0.21976
85,110.00,0.01346,0.43391,39.614,66.102,105.72,39.888,74.660,114.55,0.08247,0.13706,0.21953
90,119.08,0.01359,0.39997,41.321,64.989,106.31,41.620,73.503,115.12,0.08560,0.13371,0.21931
95,128.72,0.01372,0.36902,43.041,63.852,106.89,43.367,72.315,115.68,0.08872,0.13036,0.21908
100,138.93,0.01386,0.34074,44.774,62.690,107.46,45.130,71.094,116.22,0.09183,0.12702,0.21885
105,149.73,0.01400,0.31486,46.521,61.501,108.02,46.909,69.838,116.75,0.09495,0.12367,0.21862
110,161.16,0.01415,0.29113,48.284,60.284,108.57,48.706,68.544,117.25,0.09806,0.12031,0.21838
115,173.23,0.01430,0.26933,50.063,59.035,109.10,50.521,67.210,117.73,0.10118,0.11694,0.21813
120,185.96,0.01446,0.24928,51.858,57.753,109.61,52.356,65.833,118.19,0.10430,0.11356,0.21786
130,213.53,0.01482,0.21373,55.505,55.075,110.58,56.091,62.935,119.03,0.11056,0.10672,0.21728
140,244.06,0.01522,0.18331,59.237,52.221,111.46,59.925,59.813,119.74,0.11686,0.09973,0.21660
150,277.79,0.01567,0.15707,63.070,49.151,112.22,63.875,56.419,120.29,0.12324,0.09253,0.21577
160,314.94,0.01619,0.13423,67.022,45.811,112.83,67.965,52.690,120.66,0.12971,0.08502,0.21473
170,355.80,0.01682,0.11413,71.139,42.101,113.24,72.246,48.509,120.75,0.13637,0.07703,0.21340
180,400.66,0.01759,0.09619,75.464,37.893,113.36,76.768,43.721,120.49,0.14327,0.06834,0.21161
190,449.90,0.01861,0.07982,80.093,32.929,113.02,81.642,38.025,119.67,0.15057,0.05852,0.20909
200,504.00,0.02010,0.06441,85.297,26.629,111.93,87.172,30.761,117.93,0.15872,0.04662,0.20534
210,563.76,0.02309,0.04722,91.993,16.498,108.49,94.402,19.015,113.42,0.16924,0.02839,0.19763
