P_kPa,T_sat_C,v_f_m3_kg,v_g_m3_kg,u_f_kJ_kg,u_fg_kJ_kg,u_g_kJ_kg,h_f_kJ_kg,h_fg_kJ_kg,h_g_kJ_kg,s_f_kJ_kg_K,s_fg_kJ_kg_K,s_g_kJ_kg_K
60,-36.95,0.0007097,0.31108,3.795,205.34,209.13,3.837,223.96,227.80,0.01633,0.94812,0.96445
70,-33.87,0.0007143,0.26921,7.672,203.23,210.90,7.722,222.02,229.74,0.03264,0.92783,0.96047
80,-31.13,0.0007184,0.23749,11.14,201.33,212.48,11.20,220.27,231.47,0.04707,0.91009,0.95716
90,-28.65,0.0007222,0.21261,14.30,199.60,213.90,14.36,218.67,233.04,0.06003,0.89431,0.95434
100,-26.37,0.0007258,0.19255,17.19,198.01,215.21,17.27,217.19,234.46,0.07182,0.88008,0.95191
120,-22.32,0.0007323,0.16216,22.38,195.15,217.53,22.47,214.52,236.99,0.09269,0.85520,0.94789
140,-18.77,0.0007381,0.14020,26.96,192.60,219.56,27.06,212.13,239.19,0.11080,0.83387,0.94467
160,-15.60,0.0007435,0.12355,31.06,190.31,221.37,31.18,209.96,241.14,0.12686,0.81517,0.94202
180,-12.73,0.0007485,0.11049,34.81,188.20,223.01,34.94,207.95,242.90,0.14131,0.79848,0.93979
200,-10.09,0.0007532,0.099951,38.26,186.25,224.51,38.41,206.09,244.50,0.15449,0.78339,0.93788
240,-5.38,0.0007618,0.083983,44.46,182.71,227.17,44.64,202.68,247.32,0.17786,0.75689,0.93475
280,-1.25,0.0007697,0.072434,49.95,179.54,229.49,50.16,199.61,249.77,0.19822,0.73406,0.93228
320,2.46,0.0007771,0.063681,54.90,176.65,231.55,55.14,196.78,251.93,0.21631,0.71395,0.93026
360,5.82,0.0007840,0.056809,59.42,173.99,233.41,59.70,194.15,253.86,0.23265,0.69591,0.92856
400,8.91,0.0007905,0.051266,63.61,171.49,235.10,63.92,191.68,255.61,0.24757,0.67954,0.92711
450,12.46,0.0007983,0.045677,68.44,168.58,237.03,68.80,188.78,257.58,0.26462,0.66093,0.92555
500,15.71,0.0008058,0.041168,72.92,165.86,238.77,73.32,186.04,259.36,0.28021,0.64399,0.92420
550,18.73,0.0008129,0.037452,77.09,163.29,240.38,77.54,183.44,260.98,0.29460,0.62842,0.92302
600,-1.55,0.0008198,0.034335,81.01,160.84,241.86,81.50,180.95,262.46,0.30799,0.61398,0.92196
650,-4.20,0.0008265,0.031680,84.72,158.51,243.23,85.26,178.56,263.82,0.32052,0.60048,0.92100
700,-6.69,0.0008331,0.029392,88.24,156.27,244.51,88.82,176.26,265.08,0.33232,0.58780,0.92012
750,-9.06,0.0008395,0.027398,91.59,154.11,245.70,92.22,174.03,266.25,0.34348,0.57582,0.91930
800,31.31,0.0008457,0.025645,94.80,152.02,246.82,95.48,171.86,267.34,0.35408,0.56445,0.91853
850,33.45,0.0008519,0.024091,97.88,150.00,247.88,98.61,169.75,268.36,0.36417,0.55362,0.91779
900,35.51,0.0008580,0.022703,100.84,148.03,248.88,101.62,167.69,269.31,0.37383,0.54326,0.91709
950,37.48,0.0008640,0.021456,103.70,146.11,249.82,104.52,165.68,270.20,0.38307,0.53333,0.91641
1000,39.37,0.0008700,0.020329,106.47,144.24,250.71,107.34,163.70,271.04,0.39196,0.52378,0.91574
1200,46.29,0.0008935,0.016728,116.72,137.12,253.84,117.79,156.12,273.92,0.42449,0.48870,0.91320
1400,52.40,0.0009167,0.014119,125.96,130.44,256.40,127.25,148.92,276.17,0.45325,0.45742,0.91067
1600,57.88,0.0009400,0.012134,134.45,124.05,258.50,135.96,141.96,277.92,0.47921,0.42881,0.90802
1800,62.87,0.0009639,0.010568,142.36,117.85,260.21,144.09,135.14,279.23,0.50304,0.40213,0.90517
2000,67.45,0.0009887,0.009297,149.81,111.75,261.56,151.78,128.36,280.15,0.52519,0.37684,0.90204
2500,77.54,0.0010567,0.006941,167.02,96.47,263.49,169.66,111.18,280.84,0.57542,0.31701,0.89243
3000,86.16,0.0011410,0.005272,183.09,80.17,263.26,186.51,92.57,279.08,0.62133,0.25759,0.87893
