P_psia,T_sat_F,v_f_ft3_lbm,v_g_ft3_lbm,u_f_Btu_lbm,u_fg_Btu_lbm,u_g_Btu_lbm,h_f_Btu_lbm,h_fg_Btu_lbm,h_g_Btu_lbm,s_f_Btu_lbm_R,s_fg_Btu_lbm_R,s_g_Btu_lbm_R
5,-53.09,0.01113,8.3740,23.914,91.283,87.37,23.903,99.021,95.12,20.00944,0.24353,0.23409
10,-29.52,0.01143,4.3740,3.132,87.463,90.59,3.153,95.536,98.69,0.00741,0.22208,0.22949
15,-14.15,0.01164,2.9882,7.796,84.907,92.70,7.828,93.170,101.00,0.01806,0.20911,0.22717
20,-2.43,0.01181,2.2781,11.393,82.915,94.31,11.436,91.302,102.74,0.02603,0.19967,0.22570
25,7.17,0.01196,1.8442,14.367,81.249,95.62,14.422,89.725,104.15,0.03247,0.19218,0.22465
30,15.37,0.01209,1.5506,16.929,79.799,96.73,16.996,88.340,105.34,0.03792,0.18595,0.22386
35,-2.57,0.01221,1.3382,19.195,78.504,97.70,19.274,87.093,106.37,0.04265,0.18058,0.22324
40,-9.01,0.01232,1.1773,21.236,77.326,98.56,21.327,85.950,107.28,0.04686,0.17586,0.22272
45,34.86,0.01242,1.0510,23.101,76.240,99.34,23.205,84.889,108.09,0.05065,0.17164,0.22229
50,40.23,0.01252,0.94909,24.824,75.228,100.05,24.939,83.894,108.83,0.05412,0.16780,0.22192
55,45.20,0.01261,0.86509,26.428,74.277,100.70,26.556,82.954,109.51,0.05732,0.16429,0.22160
60,49.84,0.01270,0.79462,27.932,73.378,101.31,28.073,82.060,110.13,0.06028,0.16104,0.22132
65,54.20,0.01278,0.73462,29.351,72.523,101.87,29.505,81.205,110.71,0.06306,0.15801,0.22107
70,58.30,0.01287,0.68290,30.696,71.705,102.40,30.862,80.385,111.25,0.06567,0.15518,0.22084
75,62.19,0.01295,0.63784,31.975,70.921,102.90,32.155,79.594,111.75,0.06813,0.15251,0.22064
80,65.89,0.01303,0.59822,33.198,70.167,103.36,33.391,78.830,112.22,0.07047,0.14998,0.22045
85,69.41,0.01310,0.56309,34.369,69.438,103.81,34.575,78.089,112.66,0.07269,0.14758,0.22027
90,72.78,0.01318,0.53173,35.494,68.733,104.23,35.713,77.369,113.08,0.07481,0.14529,0.22011
95,76.02,0.01325,0.50356,36.577,68.048,104.63,36.810,76.668,113.48,0.07684,0.14311,0.21995
100,79.12,0.01332,0.47811,37.623,67.383,105.01,37.870,75.984,113.85,0.07879,0.14101,0.21981
110,85.00,0.01346,0.43390,39.614,66.102,105.72,39.888,74.660,114.55,0.08247,0.13706,0.21953
120,90.49,0.01360,0.39681,41.489,64.878,106.37,41.791,73.388,115.18,0.08590,0.13338,0.21928
130,95.64,0.01374,0.36523,43.263,63.704,106.97,43.594,72.159,115.75,0.08912,0.12993,0.21905
140,100.51,0.01387,0.33800,44.951,62.570,107.52,45.311,70.967,116.28,0.09215,0.12668,0.21883
150,105.12,0.01400,0.31426,46.563,61.473,108.04,46.952,69.807,116.76,0.09502,0.12359,0.21861
160,109.50,0.01413,0.29339,48.109,60.406,108.51,48.527,68.674,117.20,0.09776,0.12064,0.21840
170,113.69,0.01426,0.27487,49.595,59.366,108.96,50.043,67.564,117.61,0.10036,0.11783,0.21819
180,117.69,0.01439,0.25833,51.027,58.349,109.38,51.507,66.475,117.98,0.10286,0.11513,0.21799
190,121.53,0.01452,0.24346,52.412,57.353,109.76,52.922,65.402,118.32,0.10526,0.11252,0.21778
200,125.22,0.01464,0.23001,53.753,56.375,110.13,54.295,64.345,118.64,0.10757,0.11000,0.21757
220,132.21,0.01490,0.20662,56.321,54.462,110.78,56.927,62.267,119.19,0.11195,0.10519,0.21714
240,138.73,0.01516,0.18694,58.757,52.596,111.35,59.430,60.225,119.65,0.11606,0.10063,0.21669
260,144.85,0.01543,0.17012,61.082,50.763,111.84,61.824,58.205,120.03,0.11994,0.09627,0.21622
280,150.62,0.01570,0.15555,63.313,48.951,112.26,64.126,56.197,120.32,0.12364,0.09207,0.21571
300,156.09,0.01598,0.14279,65.460,47.154,112.61,66.347,54.195,120.54,0.12717,0.08800,0.21517
350,168.64,0.01672,0.11673,70.567,42.632,113.20,71.651,49.109,120.76,0.13545,0.07815,0.21360
400,179.86,0.01758,0.09643,75.401,37.957,113.36,76.702,43.794,120.50,0.14317,0.06847,0.21164
450,190.02,0.01860,0.07979,80.112,32.909,113.02,81.662,38.003,119.67,0.15060,0.05849,0.20909
500,199.29,0.01997,0.06533,84.900,27.096,112.00,86.748,31.292,118.04,0.15810,0.04748,0.20558
