fluid,region,pressure_MPa,T_C,row_type,v_m3_kg,u_kJ_kg,h_kJ_kg,s_kJ_kg_K,source_table,source_page
R-134a,superheated,0.06,Sat.,saturated_reference,0.31108,209.13,227.80,0.9645,A-13,23
R-134a,superheated,0.10,Sat.,saturated_reference,0.19255,215.21,234.46,0.9519,A-13,23
R-134a,superheated,0.14,Sat.,saturated_reference,0.14020,219.56,239.19,0.9447,A-13,23
R-134a,superheated,0.06,-20,superheated,0.33608,220.62,240.78,1.0175,A-13,23
R-134a,superheated,0.10,-20,superheated,0.19841,219.68,239.52,0.9721,A-13,23
R-134a,superheated,0.06,-10,superheated,0.35048,227.57,248.60,1.0478,A-13,23
R-134a,superheated,0.10,-10,superheated,0.20743,226.77,247.51,1.0031,A-13,23
R-134a,superheated,0.14,-10,superheated,0.14605,225.93,246.37,0.9724,A-13,23
R-134a,superheated,0.06,0,superheated,0.36476,234.67,256.56,1.0775,A-13,23
R-134a,superheated,0.10,0,superheated,0.21630,233.97,255.60,1.0333,A-13,23
R-134a,superheated,0.14,0,superheated,0.15263,233.25,254.61,1.0032,A-13,23
R-134a,superheated,0.06,10,superheated,0.37893,241.94,264.68,1.1067,A-13,23
R-134a,superheated,0.10,10,superheated,0.22506,241.32,263.82,1.0628,A-13,23
R-134a,superheated,0.14,10,superheated,0.15908,240.68,262.95,1.0331,A-13,23
R-134a,superheated,0.06,20,superheated,0.39302,249.37,272.95,1.1354,A-13,23
R-134a,superheated,0.10,20,superheated,0.23373,248.81,272.18,1.0919,A-13,23
R-134a,superheated,0.14,20,superheated,0.16544,248.24,271.40,1.0625,A-13,23
R-134a,superheated,0.06,30,superheated,0.40705,256.97,281.39,1.1637,A-13,23
R-134a,superheated,0.10,30,superheated,0.24233,256.46,280.69,1.1204,A-13,23
R-134a,superheated,0.14,30,superheated,0.17172,255.95,279.99,1.0913,A-13,23
R-134a,superheated,0.06,40,superheated,0.42102,264.73,289.99,1.1916,A-13,23
R-134a,superheated,0.10,40,superheated,0.25088,264.27,289.36,1.1485,A-13,23
