fluid,region,pressure_psia,T_F,row_type,v_ft3_lbm,u_Btu_lbm,h_Btu_lbm,s_Btu_lbm_R,source_table,source_page
R-134a,superheated,10,Sat.,saturated_reference,4.3740,90.59,98.69,0.22949,A-13E,66
R-134a,superheated,15,Sat.,saturated_reference,2.9882,92.70,101.00,0.22717,A-13E,66
R-134a,superheated,20,Sat.,saturated_reference,2.2781,94.31,102.74,0.22570,A-13E,66
R-134a,superheated,10,-20,superheated,4.4856,92.14,100.44,0.23351,A-13E,66
R-134a,superheated,10,0,superheated,4.7135,95.42,104.14,0.24175,A-13E,66
R-134a,superheated,15,0,superheated,3.1001,95.08,103.69,0.23312,A-13E,66
R-134a,superheated,20,0,superheated,2.2922,94.73,103.21,0.22673,A-13E,66
R-134a,superheated,10,20,superheated,4.9380,98.77,107.91,0.24978,A-13E,66
R-134a,superheated,15,20,superheated,3.2551,98.49,107.52,0.24129,A-13E,66
R-134a,superheated,20,20,superheated,2.4130,98.19,107.12,0.23506,A-13E,66
R-134a,superheated,10,40,superheated,5.1600,102.21,111.76,0.25763,A-13E,66
R-134a,superheated,15,40,superheated,3.4074,101.96,111.42,0.24924,A-13E,66
R-134a,superheated,20,40,superheated,2.5306,101.71,111.07,0.24313,A-13E,66
R-134a,superheated,10,60,superheated,5.3802,105.73,115.68,0.26533,A-13E,66
R-134a,superheated,15,60,superheated,3.5577,105.51,115.38,0.25702,A-13E,66
R-134a,superheated,20,60,superheated,2.6461,105.29,115.08,0.25099,A-13E,66
R-134a,superheated,10,80,superheated,5.5989,109.33,119.69,0.27290,A-13E,66
R-134a,superheated,15,80,superheated,3.7064,109.14,119.42,0.26465,A-13E,66
R-134a,superheated,20,80,superheated,2.7600,108.94,119.15,0.25868,A-13E,66
R-134a,superheated,10,100,superheated,5.8165,113.02,123.78,0.28035,A-13E,66
R-134a,superheated,15,100,superheated,3.8540,112.85,123.54,0.27214,A-13E,66
R-134a,superheated,20,100,superheated,2.8726,112.67,123.30,0.26623,A-13E,66
R-134a,superheated,10,120,superheated,6.0331,116.80,127.96,0.28768,A-13E,66
R-134a,superheated,15,120,superheated,4.0006,116.64,127.75,0.27952,A-13E,66
R-134a,superheated,20,120,superheated,2.9842,116.48,127.53,0.27364,A-13E,66
R-134a,superheated,10,140,superheated,6.2490,120.66,132.23,0.29492,A-13E,66
R-134a,superheated,15,140,superheated,4.1464,120.52,132.03,0.28678,A-13E,66
R-134a,superheated,20,140,superheated,3.0950,120.38,131.83,0.28094,A-13E,66
R-134a,superheated,10,160,superheated,6.4642,124.62,136.58,0.30205,A-13E,66
R-134a,superheated,15,160,superheated,4.2915,124.49,136.40,0.29395,A-13E,66
R-134a,superheated,20,160,superheated,3.2051,124.35,136.22,0.28814,A-13E,66
R-134a,superheated,10,180,superheated,6.6789,128.66,141.01,0.30910,A-13E,66
R-134a,superheated,15,180,superheated,4.4361,128.53,140.85,0.30102,A-13E,66
R-134a,superheated,20,180,superheated,3.3146,128.41,140.68,0.29523,A-13E,66
R-134a,superheated,10,200,superheated,6.8930,132.78,145.54,0.31606,A-13E,66
R-134a,superheated,15,200,superheated,4.5802,132.67,145.38,0.30800,A-13E,66
R-134a,superheated,20,200,superheated,3.4237,132.56,145.23,0.30223,A-13E,66
R-134a,superheated,10,-20,superheated,7.1068,136.99,150.14,0.32293,A-13E,66
R-134a,superheated,15,-20,superheated,4.7239,136.89,150.00,0.31489,A-13E,66
R-134a,superheated,20,-20,superheated,3.5324,136.78,149.86,0.30914,A-13E,66
R-134a,superheated,30,Sat.,saturated_reference,1.5506,96.73,105.34,0.22386,A-13E,66
R-134a,superheated,40,Sat.,saturated_reference,1.1773,98.56,107.28,0.22272,A-13E,66
R-134a,superheated,50,Sat.,saturated_reference,0.9491,100.05,108.83,0.22192,A-13E,66
R-134a,superheated,30,20,superheated,1.5691,97.56,106.27,0.22583,A-13E,66
R-134a,superheated,30,40,superheated,1.6528,101.18,110.35,0.23416,A-13E,66
R-134a,superheated,40,40,superheated,1.2126,100.61,109.59,0.22740,A-13E,66
R-134a,superheated,30,60,superheated,1.7338,104.83,114.45,0.24220,A-13E,66
R-134a,superheated,40,60,superheated,1.2768,104.35,113.80,0.23567,A-13E,66
R-134a,superheated,50,60,superheated,1.0019,103.85,113.12,0.23033,A-13E,66
R-134a,superheated,30,80,superheated,1.8130,108.54,118.60,0.25003,A-13E,66
R-134a,superheated,40,80,superheated,1.3389,108.12,118.03,0.24365,A-13E,66
R-134a,superheated,50,80,superheated,1.0540,107.69,117.44,0.23849,A-13E,66
R-134a,superheated,30,100,superheated,1.8908,112.31,122.81,0.25769,A-13E,66
R-134a,superheated,40,100,superheated,1.3995,111.94,122.30,0.25142,A-13E,66
R-134a,superheated,50,100,superheated,1.1043,111.56,121.78,0.24639,A-13E,66
R-134a,superheated,30,120,superheated,1.9675,116.16,127.08,0.26519,A-13E,66
R-134a,superheated,40,120,superheated,1.4588,115.83,126.63,0.25902,A-13E,66
R-134a,superheated,50,120,superheated,1.1534,115.49,126.16,0.25408,A-13E,66
R-134a,superheated,30,140,superheated,2.0434,120.08,131.43,0.27256,A-13E,66
R-134a,superheated,40,140,superheated,1.5173,119.79,131.02,0.26646,A-13E,66
R-134a,superheated,50,140,superheated,1.2015,119.48,130.60,0.26160,A-13E,66
R-134a,superheated,30,160,superheated,2.1185,124.09,135.85,0.27981,A-13E,66
R-134a,superheated,40,160,superheated,1.5750,123.82,135.47,0.27377,A-13E,66
R-134a,superheated,50,160,superheated,1.2488,123.54,135.09,0.26898,A-13E,66
R-134a,superheated,30,180,superheated,2.1931,128.17,140.34,0.28695,A-13E,66
R-134a,superheated,40,180,superheated,1.6321,127.92,140.00,0.28096,A-13E,66
R-134a,superheated,50,180,superheated,1.2955,127.67,139.66,0.27622,A-13E,66
R-134a,superheated,30,200,superheated,2.2671,132.33,144.92,0.29399,A-13E,66
R-134a,superheated,40,200,superheated,1.6887,132.10,144.60,0.28805,A-13E,66
R-134a,superheated,50,200,superheated,1.3416,131.87,144.29,0.28335,A-13E,66
R-134a,superheated,30,-20,superheated,2.3408,136.58,149.57,0.30094,A-13E,66
R-134a,superheated,40,-20,superheated,1.7449,136.37,149.28,0.29503,A-13E,66
R-134a,superheated,50,-20,superheated,1.3873,136.15,148.99,0.29037,A-13E,66
R-134a,superheated,30,240,superheated,2.4141,140.90,154.30,0.30780,A-13E,66
R-134a,superheated,40,240,superheated,1.8007,140.70,154.03,0.30192,A-13E,66
R-134a,superheated,50,240,superheated,1.4326,140.51,153.76,0.29730,A-13E,66
R-134a,superheated,30,260,superheated,2.4871,145.30,159.11,0.31458,A-13E,66
R-134a,superheated,40,260,superheated,1.8562,145.12,158.86,0.30873,A-13E,66
R-134a,superheated,50,260,superheated,1.4776,144.94,158.61,0.30413,A-13E,66
R-134a,superheated,30,280,superheated,2.5598,149.79,164.00,0.32128,A-13E,66
R-134a,superheated,40,280,superheated,1.9114,149.62,163.77,0.31545,A-13E,66
R-134a,superheated,50,280,superheated,1.5223,149.45,163.53,0.31087,A-13E,66
R-134a,superheated,60,Sat.,saturated_reference,0.7946,101.31,110.13,0.22132,A-13E,66
R-134a,superheated,70,Sat.,saturated_reference,0.6829,102.40,111.25,0.22084,A-13E,66
R-134a,superheated,80,Sat.,saturated_reference,0.5982,103.36,112.22,0.22045,A-13E,66
R-134a,superheated,60,60,superheated,0.8179,103.31,112.39,0.22572,A-13E,66
R-134a,superheated,70,60,superheated,0.6857,102.74,111.62,0.22157,A-13E,66
R-134a,superheated,60,80,superheated,0.8636,107.24,116.82,0.23408,A-13E,66
R-134a,superheated,70,80,superheated,0.7271,106.77,116.18,0.23018,A-13E,66
R-134a,superheated,80,80,superheated,0.6243,106.27,115.51,0.22663,A-13E,66
R-134a,superheated,60,100,superheated,0.9072,111.17,121.24,0.24212,A-13E,66
R-134a,superheated,70,100,superheated,0.7662,110.77,120.69,0.23838,A-13E,66
R-134a,superheated,80,100,superheated,0.6601,110.35,120.12,0.23501,A-13E,66
R-134a,superheated,60,120,superheated,0.9495,115.14,125.69,0.24992,A-13E,66
R-134a,superheated,70,120,superheated,0.8037,114.79,125.20,0.24630,A-13E,66
R-134a,superheated,80,120,superheated,0.6941,114.43,124.70,0.24305,A-13E,66
R-134a,superheated,60,140,superheated,0.9908,119.17,130.17,0.25753,A-13E,66
R-134a,superheated,70,140,superheated,0.8401,118.86,129.74,0.25399,A-13E,66
R-134a,superheated,80,140,superheated,0.7270,118.53,129.29,0.25084,A-13E,66
R-134a,superheated,60,160,superheated,1.0312,123.26,134.71,0.26497,A-13E,66
R-134a,superheated,70,160,superheated,0.8756,122.98,134.32,0.26151,A-13E,66
R-134a,superheated,80,160,superheated,0.7589,122.69,133.92,0.25843,A-13E,66
R-134a,superheated,60,180,superheated,1.0709,127.42,139.31,0.27227,A-13E,66
R-134a,superheated,70,180,superheated,0.9105,127.16,138.95,0.26886,A-13E,66
R-134a,superheated,80,180,superheated,0.7900,126.89,138.59,0.26585,A-13E,66
R-134a,superheated,60,200,superheated,1.1101,131.64,143.97,0.27945,A-13E,66
R-134a,superheated,70,200,superheated,0.9447,131.40,143.64,0.27608,A-13E,66
R-134a,superheated,80,200,superheated,0.8206,131.17,143.31,0.27312,A-13E,66
R-134a,superheated,60,-20,superheated,1.1489,135.94,148.69,0.28651,A-13E,66
R-134a,superheated,70,-20,superheated,0.9785,135.72,148.40,0.28318,A-13E,66
R-134a,superheated,80,-20,superheated,0.8507,135.50,148.09,0.28026,A-13E,66
R-134a,superheated,60,240,superheated,1.1872,140.31,153.49,0.29346,A-13E,66
R-134a,superheated,70,240,superheated,1.0118,140.11,153.22,0.29017,A-13E,66
R-134a,superheated,80,240,superheated,0.8803,139.91,152.94,0.28728,A-13E,66
R-134a,superheated,60,260,superheated,1.2252,144.76,158.36,0.30032,A-13E,66
R-134a,superheated,70,260,superheated,1.0449,144.57,158.10,0.29706,A-13E,66
R-134a,superheated,80,260,superheated,0.9096,144.38,157.85,0.29420,A-13E,66
R-134a,superheated,60,280,superheated,1.2629,149.28,163.30,0.30709,A-13E,66
R-134a,superheated,70,280,superheated,1.0776,149.10,163.06,0.30386,A-13E,66
R-134a,superheated,80,280,superheated,0.9386,148.93,162.82,0.30102,A-13E,66
R-134a,superheated,60,300,superheated,1.3004,153.88,168.31,0.31378,A-13E,66
R-134a,superheated,70,300,superheated,1.1101,153.71,168.09,0.31057,A-13E,66
R-134a,superheated,80,300,superheated,0.9674,153.55,167.87,0.30775,A-13E,66
R-134a,superheated,60,320,superheated,1.3377,158.55,173.40,0.32039,A-13E,66
R-134a,superheated,70,320,superheated,1.1424,158.40,173.20,0.31720,A-13E,66
R-134a,superheated,80,320,superheated,0.9959,158.25,172.99,0.31440,A-13E,66
R-134a,superheated,90,Sat.,saturated_reference,0.53173,104.23,113.08,0.22011,A-13E,67
R-134a,superheated,100,Sat.,saturated_reference,0.47811,105.01,113.85,0.21981,A-13E,67
R-134a,superheated,120,Sat.,saturated_reference,0.39681,106.37,115.18,0.21928,A-13E,67
R-134a,superheated,90,80,superheated,0.54388,105.75,114.81,0.22332,A-13E,67
R-134a,superheated,100,80,superheated,0.47906,105.19,114.06,0.22018,A-13E,67
R-134a,superheated,90,100,superheated,0.57729,109.91,119.53,0.23191,A-13E,67
R-134a,superheated,100,100,superheated,0.51076,109.46,118.91,0.22902,A-13E,67
R-134a,superheated,120,100,superheated,0.41013,108.49,117.59,0.22364,A-13E,67
R-134a,superheated,90,120,superheated,0.60874,114.05,124.19,0.24009,A-13E,67
R-134a,superheated,100,120,superheated,0.54022,113.66,123.66,0.23735,A-13E,67
R-134a,superheated,120,120,superheated,0.43692,112.85,122.55,0.23234,A-13E,67
R-134a,superheated,90,140,superheated,0.63885,118.20,128.84,0.24799,A-13E,67
R-134a,superheated,100,140,superheated,0.56821,117.86,128.38,0.24535,A-13E,67
R-134a,superheated,120,140,superheated,0.46190,117.16,127.42,0.24059,A-13E,67
R-134a,superheated,90,160,superheated,0.66796,122.39,133.51,0.25565,A-13E,67
R-134a,superheated,100,160,superheated,0.59513,122.09,133.10,0.25310,A-13E,67
R-134a,superheated,120,160,superheated,0.48563,121.47,132.25,0.24853,A-13E,67
R-134a,superheated,90,180,superheated,0.69629,126.63,138.22,0.26313,A-13E,67
R-134a,superheated,100,180,superheated,0.62122,126.36,137.85,0.26065,A-13E,67
R-134a,superheated,120,180,superheated,0.50844,125.80,137.09,0.25621,A-13E,67
R-134a,superheated,90,200,superheated,0.72399,130.92,142.98,0.27045,A-13E,67
R-134a,superheated,100,200,superheated,0.64667,130.68,142.64,0.26802,A-13E,67
R-134a,superheated,120,200,superheated,0.53054,130.18,141.96,0.26370,A-13E,67
R-134a,superheated,90,-20,superheated,0.75119,135.28,147.79,0.27763,A-13E,67
R-134a,superheated,100,-20,superheated,0.67158,135.05,147.48,0.27525,A-13E,67
R-134a,superheated,120,-20,superheated,0.55206,134.60,146.86,0.27102,A-13E,67
R-134a,superheated,90,240,superheated,0.77796,139.70,152.66,0.28469,A-13E,67
R-134a,superheated,100,240,superheated,0.69605,139.50,152.38,0.28234,A-13E,67
R-134a,superheated,120,240,superheated,0.57312,139.08,151.80,0.27819,A-13E,67
R-134a,superheated,90,260,superheated,0.80437,144.19,157.59,0.29164,A-13E,67
R-134a,superheated,100,260,superheated,0.72016,144.00,157.33,0.28932,A-13E,67
R-134a,superheated,120,260,superheated,0.59379,143.62,156.80,0.28523,A-13E,67
R-134a,superheated,90,280,superheated,0.83048,148.75,162.58,0.29849,A-13E,67
R-134a,superheated,100,280,superheated,0.74396,148.58,162.34,0.29620,A-13E,67
R-134a,superheated,120,280,superheated,0.61413,148.22,161.86,0.29216,A-13E,67
R-134a,superheated,90,300,superheated,0.85633,153.39,167.65,0.30524,A-13E,67
R-134a,superheated,100,300,superheated,0.76749,153.22,167.42,0.30297,A-13E,67
R-134a,superheated,120,300,superheated,0.63420,152.89,166.97,0.29898,A-13E,67
R-134a,superheated,90,320,superheated,0.88195,158.09,172.78,0.31191,A-13E,67
R-134a,superheated,100,320,superheated,0.79079,157.94,172.57,0.30966,A-13E,67
R-134a,superheated,120,320,superheated,0.65402,157.62,172.15,0.30571,A-13E,67
R-134a,superheated,140,Sat.,saturated_reference,0.33800,107.52,116.28,0.21883,A-13E,67
R-134a,superheated,160,Sat.,saturated_reference,0.29339,108.51,117.20,0.21840,A-13E,67
R-134a,superheated,180,Sat.,saturated_reference,0.25833,109.38,117.98,0.21799,A-13E,67
R-134a,superheated,140,120,superheated,0.36243,111.97,121.36,0.22775,A-13E,67
R-134a,superheated,160,120,superheated,0.30578,111.01,120.07,0.22339,A-13E,67
R-134a,superheated,180,120,superheated,0.26083,109.95,118.64,0.21912,A-13E,67
R-134a,superheated,140,140,superheated,0.38551,116.42,126.40,0.23630,A-13E,67
R-134a,superheated,160,140,superheated,0.32774,115.63,125.33,0.23232,A-13E,67
R-134a,superheated,180,140,superheated,0.28231,114.78,124.18,0.22852,A-13E,67
