T_C,P_sat_kPa,rho_liquid_kg_m3,rho_vapor_kg_m3,h_fg_kJ_kg,cp_liquid_J_kg_K,cp_vapor_J_kg_K,k_liquid_W_m_K,k_vapor_W_m_K,mu_liquid_kg_m_s,mu_vapor_kg_m_s,Pr_liquid,Pr_vapor,beta_liquid_1_K,surface_tension_N_m
-40,51.2,1418,2.773,225.9,1254,748.6,0.1101,0.00811,4.878e-4,2.550e-6,5.558,0.235,0.00205,0.01760
-35,66.2,1403,3.524,222.7,1264,764.1,0.1084,0.00862,4.509e-4,3.003e-6,5.257,0.266,0.00209,0.01682
-30,84.4,1389,4.429,219.5,1273,780.2,0.1066,0.00913,4.178e-4,3.504e-6,4.992,0.299,0.00215,0.01604
-25,106.5,1374,5.509,216.3,1283,797.2,0.1047,0.00963,3.882e-4,4.054e-6,4.757,0.335,0.00220,0.01527
-20,132.8,1359,6.787,213.0,1294,814.9,0.1028,0.01013,3.614e-4,4.651e-6,4.548,0.374,0.00227,0.01451
-15,164.0,1343,8.288,209.5,1306,833.5,0.1009,0.01063,3.371e-4,5.295e-6,4.363,0.415,0.00233,0.01376
-10,200.7,1327,10.04,206.0,1318,853.1,0.0989,0.01112,3.150e-4,5.982e-6,4.198,0.459,0.00241,0.01302
-5,243.5,1311,12.07,202.4,1330,873.8,0.0968,0.01161,2.947e-4,6.709e-6,4.051,0.505,0.00249,0.01229
0,293.0,1295,14.42,198.7,1344,895.6,0.0947,0.01210,2.761e-4,7.471e-6,3.919,0.553,0.00258,0.01156
5,349.9,1278,17.12,194.8,1358,918.7,0.0925,0.01259,2.589e-4,8.264e-6,3.802,0.603,0.00269,0.01084
10,414.9,1261,20.22,190.8,1374,943.2,0.0903,0.01308,2.430e-4,9.081e-6,3.697,0.655,0.00280,0.01014
15,488.7,1244,23.75,186.6,1390,969.4,0.0880,0.01357,2.281e-4,9.915e-6,3.604,0.708,0.00293,0.00944
20,572.1,1226,27.77,182.3,1408,997.6,0.0856,0.01406,2.142e-4,1.075e-5,3.521,0.763,0.00307,0.00876
25,665.8,1207,32.34,177.8,1427,1028,0.0833,0.01456,2.012e-4,1.160e-5,3.448,0.819,0.00324,0.00808
30,770.6,1188,37.53,173.1,1448,1061,0.0808,0.01507,1.888e-4,1.244e-5,3.383,0.877,0.00342,0.00742
35,887.5,1168,43.41,168.2,1471,1098,0.0783,0.01558,1.772e-4,1.327e-5,3.328,0.935,0.00364,0.00677
40,1017.1,1147,50.08,163.0,1498,1138,0.0757,0.01610,1.660e-4,1.408e-5,3.285,0.995,0.00390,0.00613
45,1160.5,1125,57.66,157.6,1529,1184,0.0731,0.01664,1.554e-4,1.486e-5,3.253,1.058,0.00420,0.00550
50,1318.6,1102,66.27,151.8,1566,1237,0.0704,0.01720,1.453e-4,1.562e-5,3.231,1.123,0.00455,0.00489
55,1492.3,1078,76.11,145.7,1608,1298,0.0676,0.01777,1.355e-4,1.634e-5,3.223,1.193,0.00500,0.00429
60,1682.8,1053,87.38,139.1,1659,1372,0.0647,0.01838,1.260e-4,1.704e-5,3.229,1.272,0.00554,0.00372
65,1891.0,1026,100.4,132.1,1722,1462,0.0618,0.01902,1.167e-4,1.771e-5,3.255,1.362,0.00624,0.00315
70,2118.2,996.2,115.6,124.4,1801,1577,0.0587,0.01972,1.077e-4,1.839e-5,3.307,1.471,0.00716,0.00261
75,2365.8,964,133.6,115.9,1907,1731,0.0555,0.02048,9.891e-5,1.908e-5,3.400,1.612,0.00843,0.00209
80,2635.2,928.2,155.3,106.4,2056,1948,0.0521,0.02133,9.011e-5,1.982e-5,3.558,1.810,0.01031,0.00160
85,2928.2,887.1,182.3,95.4,2287,2281,0.0484,0.02233,8.124e-5,2.071e-5,3.837,2.116,0.01336,0.00114
90,3246.9,837.7,217.8,82.2,2701,2865,0.0444,0.02357,7.203e-5,2.187e-5,4.385,2.658,0.01911,0.00071
95,3594.1,772.5,269.3,64.9,3675,4144,0.0396,0.02544,6.190e-5,2.370e-5,5.746,3.862,0.03343,0.00033
100,3975.1,651.7,376.3,33.9,7959,8785,0.0322,0.02989,4.765e-5,2.833e-5,11.77,8.326,0.10047,0.00004
70,MPa”,Journal,of,Physical,Chemistry,Reference,Data,Vol.,23,No.,5,1994;,M.J.,Assael
