T_F,P_sat_psia,rho_liquid_lbm_ft3,rho_vapor_lbm_ft3,h_fg_Btu_lbm,cp_liquid_Btu_lbm_R,cp_vapor_Btu_lbm_R,k_liquid_Btu_h_ft_R,k_vapor_Btu_h_ft_R,mu_liquid_lbm_ft_s,mu_vapor_lbm_ft_s,Pr_liquid,Pr_vapor,beta_liquid_1_R,surface_tension_lbf_ft
-40,7.4,88.51,0.1731,97.1,0.2996,0.1788,0.0636,0.00466,3.278e-4,1.714e-6,5.558,0.237,0.00114,0.001206
-30,9.9,87.5,0.2258,95.6,0.3021,0.1829,0.0626,0.00497,3.004e-4,2.053e-6,5.226,0.272,0.00117,0.001146
-20,12.9,86.48,0.2905,94.1,0.3046,0.1872,0.0613,0.00529,2.762e-4,2.433e-6,4.937,0.310,0.00120,0.001087
-10,16.6,85.44,0.3691,92.5,0.3074,0.1918,0.0602,0.00559,2.546e-4,2.856e-6,4.684,0.352,0.00124,0.001029
0,21.2,84.38,0.4635,90.9,0.3103,0.1966,0.0589,0.00589,2.345e-4,3.314e-6,4.463,0.398,0.00128,0.000972
10,26.6,83.31,0.5761,89.3,0.3134,0.2017,0.0576,0.00619,2.181e-4,3.811e-4,4.269,0.447,0.00132,0.000915
20,33.1,82.2,0.7094,87.5,0.3167,0.2070,0.0563,0.00648,2.024e-4,4.342e-6,4.098,0.500,0.00132,O.000859
30,40.8,81.08,0.866,85.8,0.3203,0.2127,0.0550,0.00676,1.883e-4,4.906e-6,3.947,0.555,0.00142,0.000803
40,49.8,79.92,1.049,83.9,0.3240,0.2188,0.0536,0.00704,1.752e-4,5.494e-6,3.814,0.614,0.00149,0.000749
50,60.2,78.73,1.262,82.0,0.3281,0.2253,0.0522,0.00732,1.633e-4,6.103e-6,3.697,0.677,0.00156,0.000695
60,72.2,77.51,1.509,80.0,0.3325,0.2323,0.0507,0.00758,1.522e-4,6.725e-6,3.594,0.742,0.00163,0.000642
70,85.9,76.25,1.794,78.0,0.3372,0.2398,0.0492,0.00785,1.420e-4,7.356e-6,3.504,0.810,0.00173,0.000590
80,101.4,74.94,2.122,75.8,0.3424,0.2481,0.0476,0.00810,1.324e-4,7.986e-6,3.425,0.880,0.00183,0.000538
90,119.1,73.59,2.5,73.5,0.3481,0.2572,0.0460,0.00835,1.234e-4,8.611e-6,3.357,0.955,0.00195,0.000488
100,138.9,72.17,2.935,71.1,0.3548,0.2674,0.0444,0.00860,1.149e-4,9.222e-6,3.303,1.032,0.00210,0.000439
110,161.2,70.69,3.435,68.5,0.3627,0.2790,0.0427,0.00884,1.068e-4,9.814e-6,3.262,1.115,0.00227,0.000391
120,186.0,69.13,4.012,65.8,0.3719,0.2925,0.0410,0.00908,9.911e-5,1.038e-5,3.235,1.204,0.00248,0.000344
130,213.5,67.48,4.679,62.9,0.3829,0.3083,0.0392,0.00931,9.175e-5,1.092e-5,3.223,1.303,0.00275,0.000299
140,244.1,65.72,5.455,59.8,0.3963,0.3276,0.0374,0.00954,8.464e-5,1.144e-5,3.229,1.416,0.00308,0.000255
150,277.8,63.83,6.367,56.4,0.4131,0.3520,0.0355,0.00976,7.778e-5,1.195e-5,3.259,1.551,0.00351,0.000212
160,314.9,61.76,7.45,52.7,0.4352,0.3839,0.0335,0.00998,7.108e-5,1.245e-5,3.324,1.725,0.00411,0.000171
170,355.8,59.47,8.762,48.5,0.4659,0.4286,0.0314,0.01020,6.450e-5,1.298e-5,3.443,1.963,0.00498,0.000132
180,400.7,56.85,10.4,43.7,0.5123,0.4960,0.0292,0.01041,5.792e-5,1.366e-5,3.661,2.327,0.00637,0.000095
190,449.9,53.75,12.53,38.0,0.5929,0.6112,0.0267,0.01063,5.119e-5,1.431e-5,4.090,2.964,0.00891,0.000061
200,504.0,49.75,15.57,30.7,0.7717,0.8544,0.0239,0.01085,4.397e-5,1.544e-5,5.119,4.376,0.01490,0.000031
210,563.8,43.19,21.18,18.9,1.4786,1.6683,0.0199,0.01110,3.483e-5,1.787e-5,9.311,9.669,0.04021,0.000006
70,Mpa”,Journal,of,Physical,and,Chemical,Reference,Data,23(5),1994;,M.,J.,Assael,N.
