T_F,rho_lbm_ft3,cp_Btu_lbm_R,k_Btu_h_ft_R,alpha_ft2_s,mu_lbm_ft_s,nu_ft2_s,Pr,source_page
-300,0.24844,0.5072,0.00508,1.119e-5,4.039e-6,1.625e-5,1.4501,77
-200,0.15276,0.2247,0.00778,6.294e-5,6.772e-6,4.433e-5,0.7042,77
-100,0.11029,0.2360,0.01037,1.106e-4,9.042e-6,8.197e-5,0.7404,77
-50,0.09683,0.2389,0.01164,1.397e-4,1.006e-5,1.039e-4,0.7439,77
0,0.08630,0.2401,0.01288,1.726e-4,1.102e-5,1.278e-4,0.7403,77
10,0.08446,0.2402,0.01312,1.797e-4,1.121e-5,1.328e-4,0.7391,77
20,0.08270,0.2403,0.01336,1.868e-4,1.140e-5,1.379e-4,0.7378,77
30,0.08101,0.2403,0.01361,1.942e-4,1.158e-5,1.430e-4,0.7365,77
40,0.07939,0.2404,0.01385,2.016e-4,1.176e-5,1.482e-4,0.7350,77
50,0.07783,0.2404,0.01409,2.092e-4,1.194e-5,1.535e-4,0.7336,77
60,0.07633,0.2404,0.01433,2.169e-4,1.212e-5,1.588e-4,0.7321,77
70,0.07489,0.2404,0.01457,2.248e-4,1.230e-5,1.643e-4,0.7306,77
80,0.07350,0.2404,0.01481,2.328e-4,1.247e-5,1.697e-4,0.7290,77
90,0.07217,0.2404,0.01505,2.409e-4,1.265e-5,1.753e-4,0.7275,77
100,0.07088,0.2405,0.01529,2.491e-4,1.281e-5,1.809e-4,0.7260,77
110,0.06963,0.2405,0.01552,2.575e-4,1.299e-5,1.866e-4,0.7245,77
120,0.06843,0.2405,0.01576,2.660e-4,1.316e-5,1.923e-4,0.7230,77
130,0.06727,0.2405,0.01599,2.746e-4,1.332e-5,1.981e-4,0.7216,77
140,0.06615,0.2406,0.01623,2.833e-4,1.349e-5,2.040e-4,0.7202,77
150,0.06507,0.2406,0.01646,2.921e-4,1.365e-5,2.099e-4,0.7188,77
160,0.06402,0.2406,0.01669,3.010e-4,1.382e-5,2.159e-4,0.7174,77
170,0.06300,0.2407,0.01692,3.100e-4,1.398e-5,2.220e-4,0.7161,77
180,0.06201,0.2408,0.01715,3.191e-4,1.414e-5,2.281e-4,0.7148,77
190,0.06106,0.2408,0.01738,3.284e-4,1.430e-5,2.343e-4,0.7136,77
200,0.06013,0.2409,0.01761,3.377e-4,1.446e-5,2.406e-4,0.7124,77
250,0.05590,0.2415,0.01874,3.857e-4,1.524e-5,2.727e-4,0.7071,77
300,0.05222,0.2423,0.01985,4.358e-4,1.599e-5,3.063e-4,0.7028,77
350,0.04899,0.2433,0.02094,4.879e-4,1.672e-5,3.413e-4,0.6995,77
400,0.04614,0.2445,0.02200,5.419e-4,1.743e-5,3.777e-4,0.6971,77
450,0.04361,0.2458,0.02305,5.974e-4,1.812e-5,4.154e-4,0.6953,77
500,0.04134,0.2472,0.02408,6.546e-4,1.878e-5,4.544e-4,0.6942,77
600,0.03743,0.2503,0.02608,7.732e-4,2.007e-5,5.361e-4,0.6934,77
700,0.03421,0.2535,0.02800,8.970e-4,2.129e-5,6.225e-4,0.6940,77
800,0.03149,0.2568,0.02986,1.025e-3,2.247e-5,7.134e-4,0.6956,77
900,0.02917,0.2599,0.03164,1.158e-3,2.359e-5,8.087e-4,0.6978,77
1000,0.02718,0.2630,0.03336,1.296e-3,2.467e-5,9.080e-4,0.7004,77
1500,0.02024,0.2761,0.04106,2.041e-3,2.957e-5,1.460e-3,0.7158,77
2000,0.01613,0.2855,0.04752,2.867e-3,3.379e-5,2.095e-3,0.7308,77
2500,0.01340,0.2922,0.05309,3.765e-3,3.750e-5,2.798e-3,0.7432,77
3000,0.01147,0.2972,0.05811,4.737e-3,4.082e-5,3.560e-3,0.7516,77
3500,0.01002,0.3010,0.06293,5.797e-3,4.381e-5,4.373e-3,0.7543,77
4000,0.00889,0.3040,0.06789,6.975e-3,4.651e-5,5.229e-3,0.7497,77
