T_F,P_sat_psia,v_f_ft3_lbm,v_g_ft3_lbm,u_f_Btu_lbm,u_fg_Btu_lbm,u_g_Btu_lbm,h_f_Btu_lbm,h_fg_Btu_lbm,h_g_Btu_lbm,s_f_Btu_lbm_R,s_fg_Btu_lbm_R,s_g_Btu_lbm_R
32.018,0.08871,0.01602,3299.9,0.000,1021.0,1021.0,0.000,1075.2,1075.2,0.00000,2.18672,2.1867
35,0.09998,0.01602,2945.7,3.004,1019.0,1022.0,3.004,1073.5,1076.5,0.00609,2.17011,2.1762
40,0.12173,0.01602,2443.6,8.032,1015.6,1023.7,8.032,1070.7,1078.7,0.01620,2.14271,2.1589
45,0.14756,0.01602,2035.8,13.05,1012.2,1025.3,13.05,1067.8,1080.9,0.02620,2.11587,2.1421
50,0.17812,0.01602,1703.1,18.07,1008.9,1026.9,18.07,1065.0,1083.1,0.03609,2.08956,2.1256
55,0.21413,0.01603,1430.4,23.07,1005.5,1028.6,23.07,1062.2,1085.3,0.04586,2.06377,2.1096
60,0.25638,0.01604,1206.1,28.08,1002.1,1030.2,28.08,1059.4,1087.4,0.05554,2.03847,2.0940
65,0.30578,0.01604,1020.8,33.08,998.76,1031.8,33.08,1056.5,1089.6,0.06511,2.01366,2.0788
70,0.36334,0.01605,867.18,38.08,995.39,1033.5,38.08,1053.7,1091.8,0.07459,1.98931,2.0639
75,0.43016,0.01606,739.27,43.07,992.02,1035.1,43.07,1050.9,1093.9,0.08398,1.96541,2.0494
80,0.50745,0.01607,632.41,48.06,988.65,1036.7,48.07,1048.0,1096.1,0.09328,1.94196,2.0352
85,0.59659,0.01609,542.80,53.06,985.28,1038.3,53.06,1045.2,1098.3,0.10248,1.91892,2.0214
90,0.69904,0.01610,467.40,58.05,981.90,1040.0,58.05,1042.4,1100.4,0.11161,1.89630,2.0079
95,0.81643,0.01612,403.74,63.04,978.52,1041.6,63.04,1039.5,1102.6,0.12065,1.87408,1.9947
100,0.95052,0.01613,349.83,68.03,975.14,1043.2,68.03,1036.7,1104.7,0.12961,1.85225,1.9819
110,1.2767,0.01617,264.96,78.01,968.36,1046.4,78.02,1031.0,1109.0,0.14728,1.80970,1.9570
120,1.6951,0.01620,202.94,88.00,961.56,1049.6,88.00,1025.2,1113.2,0.16466,1.76856,1.9332
130,2.2260,0.01625,157.09,97.99,954.73,1052.7,97.99,1019.4,1117.4,0.18174,1.72877,1.9105
140,2.8931,0.01629,122.81,107.98,947.87,1055.9,107.99,1013.6,1121.6,0.19855,1.69024,1.8888
