P_psia,T_sat_F,v_f_ft3_lbm,v_g_ft3_lbm,u_f_Btu_lbm,u_fg_Btu_lbm,u_g_Btu_lbm,h_f_Btu_lbm,h_fg_Btu_lbm,h_g_Btu_lbm,s_f_Btu_lbm_R,s_fg_Btu_lbm_R,s_g_Btu_lbm_R
1,101.69,0.01614,333.49,69.72,973.99,1043.7,69.72,1035.7,1105.4,0.13262,1.84495,1.9776
2,126.02,0.01623,173.71,94.02,957.45,1051.5,94.02,1021.7,1115.8,0.17499,1.74444,1.9194
3,141.41,0.01630,118.70,109.39,946.90,1056.3,109.40,1012.8,1122.2,0.20090,1.68489,1.8858
4,152.91,0.01636,90.629,120.89,938.97,1059.9,120.90,1006.0,1126.9,0.21985,1.64225,1.8621
5,162.18,0.01641,73.525,130.17,932.53,1062.7,130.18,1000.5,1130.7,0.23488,1.60894,1.8438
6,170.00,0.01645,61.982,138.00,927.08,1065.1,138.02,995.88,1133.9,0.24739,1.58155,1.8289
8,182.81,0.01652,47.347,150.83,918.08,1068.9,150.86,988.15,1139.0,0.26757,1.53800,1.8056
10,193.16,0.01659,38.425,161.22,910.75,1072.0,161.25,981.82,1143.1,0.28362,1.50391,1.7875
14.696,211.95,0.01671,26.805,180.12,897.27,1077.4,180.16,970.12,1150.3,0.31215,1.44441,1.7566
15,212.99,0.01672,26.297,181.16,896.52,1077.7,181.21,969.47,1150.7,0.31370,1.44441,1.7549
20,227.92,0.01683,20.093,196.21,885.63,1081.8,196.27,959.93,1156.2,0.33582,1.39606,1.7319
25,240.03,0.01692,16.307,208.45,876.67,1085.1,208.52,952.03,1160.6,0.35347,1.36060,1.7141
30,250.30,0.01700,13.749,218.84,868.98,1087.8,218.93,945.21,1164.1,0.36821,1.33132,1.6995
35,259.25,0.01708,11.901,227.92,862.19,1090.1,228.03,939.16,1167.2,0.38093,1.30632,1.6872
40,267.22,0.01715,10.501,236.02,856.09,1092.1,236.14,933.69,1169.8,0.39213,1.28448,1.6766
45,274.41,0.01721,9.4028,243.34,850.52,1093.9,243.49,928.68,1172.2,0.40216,1.26506,1.6672
50,280.99,0.01727,8.5175,250.05,845.39,1095.4,250.21,924.03,1174.2,0.41125,1.24756,1.6588
55,287.05,0.01732,7.7882,256.25,840.61,1096.9,256.42,919.70,1176.1,0.41958,1.23162,1.6512
60,292.69,0.01738,7.1766,262.01,836.13,1098.1,262.20,915.61,1177.8,0.42728,1.21697,1.6442
