fluid,region,pressure_MPa,T_C,row_type,v_m3_kg,u_kJ_kg,h_kJ_kg,s_kJ_kg_K,source_table,source_page
water,superheated,0.01,Sat.,saturated_reference,14.670,2437.2,2583.9,8.1488,A-6,12
water,superheated,0.05,Sat.,saturated_reference,3.2403,2483.2,2645.2,7.5931,A-6,12
water,superheated,0.10,Sat.,saturated_reference,1.6941,2505.6,2675.0,7.3589,A-6,12
water,superheated,0.01,50,superheated,14.867,2443.3,2592.0,8.1741,A-6,12
water,superheated,0.01,100,superheated,17.196,2515.5,2687.5,8.4489,A-6,12
water,superheated,0.05,100,superheated,3.4187,2511.5,2682.4,7.6953,A-6,12
water,superheated,0.10,100,superheated,1.6959,2506.2,2675.8,7.3611,A-6,12
water,superheated,0.01,150,superheated,19.513,2587.9,2783.0,8.6893,A-6,12
water,superheated,0.05,150,superheated,3.8897,2585.7,2780.2,7.9413,A-6,12
water,superheated,0.10,150,superheated,1.9367,2582.9,2776.6,7.6148,A-6,12
water,superheated,0.01,200,superheated,21.826,2661.4,2879.6,8.9049,A-6,12
water,superheated,0.05,200,superheated,4.3562,2660.0,2877.8,8.1592,A-6,12
water,superheated,0.10,200,superheated,2.1724,2658.2,2875.5,7.8356,A-6,12
water,superheated,0.01,250,superheated,24.136,2736.1,2977.5,9.1015,A-6,12
water,superheated,0.05,250,superheated,4.8206,2735.1,2976.2,8.3568,A-6,12
water,superheated,0.10,250,superheated,2.4062,2733.9,2974.5,8.0346,A-6,12
water,superheated,0.01,300,superheated,26.446,2812.3,3076.7,9.2827,A-6,12
water,superheated,0.05,300,superheated,5.2841,2811.6,3075.8,8.5387,A-6,12
water,superheated,0.10,300,superheated,2.6389,2810.7,3074.5,8.2172,A-6,12
water,superheated,0.01,400,superheated,31.063,2969.3,3280.0,9.6094,A-6,12
water,superheated,0.05,400,superheated,6.2094,2968.9,3279.3,8.8659,A-6,12
water,superheated,0.10,400,superheated,3.1027,2968.3,3278.6,8.5452,A-6,12
water,superheated,0.01,500,superheated,35.680,3132.9,3489.7,9.8998,A-6,12
water,superheated,0.05,500,superheated,7.1338,3132.6,3489.3,9.1566,A-6,12
water,superheated,0.10,500,superheated,3.5655,3132.2,3488.7,8.8362,A-6,12
water,superheated,0.01,600,superheated,40.296,3303.3,3706.3,10.1631,A-6,12
water,superheated,0.05,600,superheated,8.0577,3303.1,3706.0,9.4201,A-6,12
water,superheated,0.10,600,superheated,4.0279,3302.8,3705.6,9.0999,A-6,12
water,superheated,0.01,700,superheated,44.911,3480.8,3929.9,10.4056,A-6,12
water,superheated,0.05,700,superheated,8.9813,3480.6,3929.7,9.6626,A-6,12
water,superheated,0.10,700,superheated,4.4900,3480.4,3929.4,9.3424,A-6,12
water,superheated,0.01,800,superheated,49.527,3665.4,4160.6,10.6312,A-6,12
water,superheated,0.05,800,superheated,9.9047,3665.2,4160.4,9.8883,A-6,12
water,superheated,0.10,800,superheated,4.9519,3665.0,4160.2,9.5682,A-6,12
water,superheated,0.01,900,superheated,54.143,3856.9,4398.3,10.8429,A-6,12
water,superheated,0.05,900,superheated,10.8280,3856.8,4398.2,10.1000,A-6,12
water,superheated,0.10,900,superheated,5.4137,3856.7,4398.0,9.7800,A-6,12
water,superheated,0.01,1000,superheated,58.758,4055.3,4642.8,11.0429,A-6,12
water,superheated,0.05,1000,superheated,11.7513,4055.2,4642.7,10.3000,A-6,12
water,superheated,0.10,1000,superheated,5.8755,4055.0,4642.6,9.9800,A-6,12
water,superheated,0.01,1100,superheated,63.373,4260.0,4893.8,11.2326,A-6,12
water,superheated,0.05,1100,superheated,12.6745,4259.9,4893.7,10.4897,A-6,12
water,superheated,0.10,1100,superheated,6.3372,4259.8,4893.6,10.1698,A-6,12
water,superheated,0.01,1200,superheated,67.989,4470.9,5150.8,11.4132,A-6,12
water,superheated,0.05,1200,superheated,13.5977,4470.8,5150.7,10.6704,A-6,12
water,superheated,0.10,1200,superheated,6.7988,4470.7,5150.6,10.3504,A-6,12
water,superheated,0.01,1300,superheated,72.604,4687.4,5413.4,11.5857,A-6,12
water,superheated,0.05,1300,superheated,14.5209,4687.3,5413.3,10.8429,A-6,12
water,superheated,0.10,1300,superheated,7.2605,4687.2,5413.3,10.5229,A-6,12
water,superheated,0.20,Sat.,saturated_reference,0.88578,2529.1,2706.3,7.1270,A-6,12
water,superheated,0.30,Sat.,saturated_reference,0.60582,2543.2,2724.9,6.9917,A-6,12
water,superheated,0.40,Sat.,saturated_reference,0.46242,2553.1,2738.1,6.8955,A-6,12
water,superheated,0.20,150,superheated,0.95986,2577.1,2769.1,7.2810,A-6,12
water,superheated,0.30,150,superheated,0.63402,2571.0,2761.2,7.0792,A-6,12
water,superheated,0.40,150,superheated,0.47088,2564.4,2752.8,6.9306,A-6,12
water,superheated,0.20,200,superheated,1.08049,2654.6,2870.7,7.5081,A-6,12
water,superheated,0.30,200,superheated,0.71643,2651.0,2865.9,7.3132,A-6,12
water,superheated,0.40,200,superheated,0.53434,2647.2,2860.9,7.1723,A-6,12
water,superheated,0.20,250,superheated,1.19890,2731.4,2971.2,7.7100,A-6,12
water,superheated,0.30,250,superheated,0.79645,2728.9,2967.9,7.5180,A-6,12
water,superheated,0.40,250,superheated,0.59520,2726.4,2964.5,7.3804,A-6,12
water,superheated,0.20,300,superheated,1.31623,2808.8,3072.1,7.8941,A-6,12
water,superheated,0.30,300,superheated,0.87535,2807.0,3069.6,7.7037,A-6,12
water,superheated,0.40,300,superheated,0.65489,2805.1,3067.1,7.5677,A-6,12
water,superheated,0.20,400,superheated,1.54934,2967.2,3277.0,8.2236,A-6,12
water,superheated,0.30,400,superheated,1.03155,2966.0,3275.5,8.0347,A-6,12
water,superheated,0.40,400,superheated,0.77265,2964.9,3273.9,7.9003,A-6,12
water,superheated,0.20,500,superheated,1.78142,3131.4,3487.7,8.5153,A-6,12
water,superheated,0.30,500,superheated,1.18672,3130.6,3486.6,8.3271,A-6,12
water,superheated,0.40,500,superheated,0.88936,3129.8,3485.5,8.1933,A-6,12
water,superheated,0.20,600,superheated,2.01302,3302.2,3704.8,8.7793,A-6,12
water,superheated,0.30,600,superheated,1.34139,3301.6,3704.0,8.5915,A-6,12
water,superheated,0.40,600,superheated,1.00558,3301.0,3703.3,8.4580,A-6,12
water,superheated,0.20,700,superheated,2.24434,3479.9,3928.8,9.0221,A-6,12
water,superheated,0.30,700,superheated,1.49580,3479.5,3928.2,8.8345,A-6,12
water,superheated,0.40,700,superheated,1.12152,3479.0,3927.6,8.7012,A-6,12
water,superheated,0.20,800,superheated,2.47550,3664.7,4159.8,9.2479,A-6,12
water,superheated,0.30,800,superheated,1.65004,3664.3,4159.3,9.0605,A-6,12
water,superheated,0.40,800,superheated,1.23730,3663.9,4158.9,8.9274,A-6,12
water,superheated,0.20,900,superheated,2.70656,3856.3,4397.7,9.4598,A-6,12
water,superheated,0.30,900,superheated,1.80417,3856.0,4397.3,9.2725,A-6,12
water,superheated,0.40,900,superheated,1.35298,3855.7,4396.9,9.1394,A-6,12
water,superheated,0.20,1000,superheated,2.93755,4054.8,4642.3,9.6599,A-6,12
water,superheated,0.30,1000,superheated,1.95824,4054.5,4642.0,9.4726,A-6,12
water,superheated,0.40,1000,superheated,1.46859,4054.3,4641.7,9.3396,A-6,12
