fluid,region,pressure_psia,T_F,row_type,v_ft3_lbm,u_Btu_lbm,h_Btu_lbm,s_Btu_lbm_R,source_table,source_page
water,superheated,1.0,Sat.,saturated_reference,333.49,1043.7,1105.4,1.9776,A-6E,56
water,superheated,5.0,Sat.,saturated_reference,73.525,1062.7,1130.7,1.8438,A-6E,56
water,superheated,10,Sat.,saturated_reference,38.425,1072.0,1143.1,1.7875,A-6E,56
water,superheated,1.0,200,superheated,392.53,1077.5,1150.1,2.0509,A-6E,56
water,superheated,5.0,200,superheated,78.153,1076.2,1148.5,1.8716,A-6E,56
water,superheated,10,200,superheated,38.849,1074.5,1146.4,1.7926,A-6E,56
water,superheated,1.0,240,superheated,416.44,1091.2,1168.3,2.0777,A-6E,56
water,superheated,5.0,240,superheated,83.009,1090.3,1167.1,1.8989,A-6E,56
water,superheated,10,240,superheated,41.326,1089.1,1165.5,1.8207,A-6E,56
water,superheated,1.0,280,superheated,440.33,1105.0,1186.5,2.1030,A-6E,56
water,superheated,5.0,280,superheated,87.838,1104.3,1185.6,1.9246,A-6E,56
water,superheated,10,280,superheated,43.774,1103.4,1184.4,1.8469,A-6E,56
water,superheated,1.0,320,superheated,464.20,1118.9,1204.8,2.1271,A-6E,56
water,superheated,5.0,320,superheated,92.650,1118.4,1204.1,1.9490,A-6E,56
water,superheated,10,320,superheated,46.205,1117.6,1203.1,1.8716,A-6E,56
water,superheated,1.0,360,superheated,488.07,1132.9,1223.3,2.1502,A-6E,56
water,superheated,5.0,360,superheated,97.452,1132.5,1222.6,1.9722,A-6E,56
water,superheated,10,360,superheated,48.624,1131.9,1221.8,1.8950,A-6E,56
water,superheated,1.0,400,superheated,511.92,1147.1,1241.8,2.1722,A-6E,56
water,superheated,5.0,400,superheated,102.25,1146.7,1241.3,1.9944,A-6E,56
water,superheated,10,400,superheated,51.035,1146.2,1240.6,1.9174,A-6E,56
water,superheated,1.0,440,superheated,535.77,1161.3,1260.4,2.1934,A-6E,56
water,superheated,5.0,440,superheated,107.03,1160.9,1260.0,2.0156,A-6E,56
water,superheated,10,440,superheated,53.441,1160.5,1259.4,1.9388,A-6E,56
water,superheated,1.0,500,superheated,571.54,1182.8,1288.6,2.2237,A-6E,56
water,superheated,5.0,500,superheated,114.21,1182.6,1288.2,2.0461,A-6E,56
water,superheated,10,500,superheated,57.041,1182.2,1287.8,1.9693,A-6E,56
water,superheated,1.0,600,superheated,631.14,1219.4,1336.2,2.2709,A-6E,56
water,superheated,5.0,600,superheated,126.15,1219.2,1335.9,2.0933,A-6E,56
water,superheated,10,600,superheated,63.029,1219.0,1335.6,2.0167,A-6E,56
water,superheated,1.0,700,superheated,690.73,1256.8,1384.6,2.3146,A-6E,56
water,superheated,5.0,700,superheated,138.09,1256.7,1384.4,2.1371,A-6E,56
water,superheated,10,700,superheated,69.007,1256.5,1384.2,2.0605,A-6E,56
water,superheated,1.0,800,superheated,750.31,1295.1,1433.9,2.3553,A-6E,56
water,superheated,5.0,800,superheated,150.02,1294.9,1433.7,2.1778,A-6E,56
water,superheated,10,800,superheated,74.980,1294.8,1433.5,2.1013,A-6E,56
water,superheated,1.0,1000,superheated,869.47,1374.2,1535.1,2.4299,A-6E,56
water,superheated,5.0,1000,superheated,173.86,1374.2,1535.0,2.2524,A-6E,56
water,superheated,10,1000,superheated,86.913,1374.1,1534.9,2.1760,A-6E,56
water,superheated,1.0,1200,superheated,988.62,1457.1,1640.0,2.4972,A-6E,56
water,superheated,5.0,1200,superheated,197.70,1457.0,1640.0,2.3198,A-6E,56
water,superheated,10,1200,superheated,98.840,1457.0,1639.9,2.2433,A-6E,56
water,superheated,5.0,1107.8,superheated,221.54,1543.7,1748.7,2.3816,A-6E,56
water,superheated,10,1107.8,superheated,110.762,1543.6,1748.6,2.3052,A-6E,56
water,superheated,15,Sat.,saturated_reference,26.297,1077.7,1150.7,1.7549,A-6E,56
water,superheated,20,Sat.,saturated_reference,20.093,1081.8,1156.2,1.7319,A-6E,56
water,superheated,40,Sat.,saturated_reference,10.501,1092.1,1169.8,1.6766,A-6E,56
water,superheated,15,240,superheated,27.429,1087.8,1163.9,1.7742,A-6E,56
water,superheated,20,240,superheated,20.478,1086.5,1162.3,1.7406,A-6E,56
water,superheated,15,280,superheated,29.085,1102.4,1183.2,1.8010,A-6E,56
water,superheated,20,280,superheated,21.739,1101.4,1181.9,1.7679,A-6E,56
water,superheated,40,280,superheated,10.713,1097.3,1176.6,1.6858,A-6E,56
water,superheated,15,320,superheated,30.722,1116.9,1202.2,1.8260,A-6E,56
water,superheated,20,320,superheated,22.980,1116.1,1201.2,1.7933,A-6E,56
water,superheated,40,320,superheated,11.363,1112.9,1197.1,1.7128,A-6E,56
water,superheated,15,360,superheated,32.348,1131.3,1221.1,1.8496,A-6E,56
water,superheated,20,360,superheated,24.209,1130.7,1220.2,1.8171,A-6E,56
water,superheated,40,360,superheated,11.999,1128.1,1216.9,1.7376,A-6E,56
water,superheated,15,400,superheated,33.965,1145.7,1239.9,1.8721,A-6E,56
water,superheated,20,400,superheated,25.429,1145.1,1239.3,1.8398,A-6E,56
water,superheated,40,400,superheated,12.625,1143.1,1236.5,1.7610,A-6E,56
water,superheated,15,440,superheated,35.576,1160.1,1258.8,1.8936,A-6E,56
water,superheated,20,440,superheated,26.644,1159.7,1258.3,1.8614,A-6E,56
water,superheated,40,440,superheated,13.244,1157.9,1256.0,1.7831,A-6E,56
water,superheated,15,500,superheated,37.986,1181.9,1287.3,1.9243,A-6E,56
water,superheated,20,500,superheated,28.458,1181.6,1286.9,1.8922,A-6E,56
water,superheated,40,500,superheated,14.165,1180.2,1285.0,1.8143,A-6E,56
water,superheated,15,600,superheated,41.988,1218.7,1335.3,1.9718,A-6E,56
water,superheated,20,600,superheated,31.467,1218.5,1334.9,1.9398,A-6E,56
water,superheated,40,600,superheated,15.686,1217.5,1333.6,1.8625,A-6E,56
water,superheated,15,700,superheated,45.981,1256.3,1383.9,2.0156,A-6E,56
water,superheated,20,700,superheated,34.467,1256.1,1383.7,1.9837,A-6E,56
water,superheated,40,700,superheated,17.197,1255.3,1382.6,1.9067,A-6E,56
water,superheated,15,800,superheated,49.967,1294.6,1433.3,2.0565,A-6E,56
water,superheated,20,800,superheated,37.461,1294.5,1433.1,2.0247,A-6E,56
water,superheated,40,800,superheated,18.702,1293.9,1432.3,1.9478,A-6E,56
water,superheated,15,1000,superheated,57.930,1374.0,1534.8,2.1312,A-6E,56
water,superheated,20,1000,superheated,43.438,1373.8,1534.6,2.0994,A-6E,56
water,superheated,40,1000,superheated,21.700,1373.4,1534.1,2.0227,A-6E,56
water,superheated,15,1200,superheated,65.885,1456.9,1639.8,2.1986,A-6E,56
water,superheated,20,1200,superheated,49.407,1456.8,1639.7,2.1668,A-6E,56
water,superheated,40,1200,superheated,24.691,1456.5,1639.3,2.0902,A-6E,56
water,superheated,15,1400,superheated,73.836,1543.6,1748.5,2.2604,A-6E,56
water,superheated,20,1400,superheated,55.373,1543.5,1748.4,2.2287,A-6E,56
water,superheated,40,1400,superheated,27.678,1543.3,1748.1,2.1522,A-6E,56
water,superheated,15,1600,superheated,81.784,1634.0,1861.0,2.3178,A-6E,56
water,superheated,20,1600,superheated,61.335,1633.9,1860.9,2.2861,A-6E,56
water,superheated,40,1600,superheated,30.662,1633.7,1860.7,2.2096,A-6E,56
water,superheated,60,Sat.,saturated_reference,7.1766,1098.1,1177.8,1.6442,A-6E,56
water,superheated,80,Sat.,saturated_reference,5.4733,1102.3,1183.4,1.6212,A-6E,56
water,superheated,100,Sat.,saturated_reference,4.4327,1105.5,1187.5,1.6032,A-6E,56
water,superheated,60,320,superheated,7.4863,1109.6,1192.7,1.6636,A-6E,56
water,superheated,80,320,superheated,5.5440,1105.9,1187.9,1.6271,A-6E,56
water,superheated,60,360,superheated,7.9259,1125.5,1213.5,1.6897,A-6E,56
water,superheated,80,360,superheated,5.8876,1122.7,1209.9,1.6545,A-6E,56
water,superheated,100,360,superheated,4.6628,1119.8,1206.1,1.6263,A-6E,56
water,superheated,60,400,superheated,8.3548,1140.9,1233.7,1.7138,A-6E,56
water,superheated,80,400,superheated,6.2187,1138.7,1230.8,1.6794,A-6E,56
water,superheated,100,400,superheated,4.9359,1136.4,1227.8,1.6521,A-6E,56
water,superheated,60,440,superheated,8.7766,1156.1,1253.6,1.7364,A-6E,56
water,superheated,80,440,superheated,6.5420,1154.3,1251.2,1.7026,A-6E,56
water,superheated,100,440,superheated,5.2006,1152.4,1248.7,1.6759,A-6E,56
water,superheated,60,500,superheated,9.4005,1178.8,1283.1,1.7682,A-6E,56
water,superheated,80,500,superheated,7.0177,1177.3,1281.2,1.7350,A-6E,56
water,superheated,100,500,superheated,5.5876,1175.9,1279.3,1.7088,A-6E,56
water,superheated,80,10.4256,superheated,7.7951,1215.4,1330.8,1.7841,A-6E,56
water,superheated,100,10.4256,superheated,6.2167,1214.4,1329.4,1.7586,A-6E,56
water,superheated,80,11.4401,superheated,8.5616,1253.8,1380.5,1.8289,A-6E,56
water,superheated,100,11.4401,superheated,6.8344,1253.0,1379.5,1.8037,A-6E,56
water,superheated,80,12.4484,superheated,9.3218,1292.6,1430.6,1.8704,A-6E,56
water,superheated,100,12.4484,superheated,7.4457,1292.0,1429.8,1.8453,A-6E,56
water,superheated,80,14.4543,superheated,10.8313,1372.6,1532.9,1.9457,A-6E,56
water,superheated,100,14.4543,superheated,8.6575,1372.2,1532.4,1.9208,A-6E,56
water,superheated,80,16.4525,superheated,12.3331,1455.9,1638.5,2.0135,A-6E,56
water,superheated,100,16.4525,superheated,9.8615,1455.6,1638.1,1.9887,A-6E,56
water,superheated,80,18.4464,superheated,13.8306,1542.8,1747.5,2.0755,A-6E,56
water,superheated,100,18.4464,superheated,11.0612,1542.6,1747.2,2.0508,A-6E,56
water,superheated,80,20.438,superheated,15.3257,1633.3,1860.2,2.1330,A-6E,56
water,superheated,100,20.438,superheated,12.2584,1633.2,1860.0,2.1083,A-6E,56
water,superheated,80,22.428,superheated,16.8192,1727.5,1976.5,2.1869,A-6E,56
water,superheated,100,22.428,superheated,13.4541,1727.3,1976.3,2.1622,A-6E,56
water,superheated,80,24.417,superheated,18.3117,1825.0,2096.1,2.2376,A-6E,56
water,superheated,100,24.417,superheated,14.6487,1824.9,2096.0,2.2130,A-6E,56
water,superheated,120,Sat.,saturated_reference,3.7289,1107.9,1190.8,1.5883,A-6E,57
water,superheated,140,Sat.,saturated_reference,3.2202,1109.9,1193.4,1.5757,A-6E,57
water,superheated,160,Sat.,saturated_reference,2.8347,1111.6,1195.5,1.5647,A-6E,57
water,superheated,120,360,superheated,3.8446,1116.7,1202.1,1.6023,A-6E,57
water,superheated,140,360,superheated,3.2584,1113.4,1197.8,1.5811,A-6E,57
water,superheated,120,400,superheated,4.0799,1134.0,1224.6,1.6292,A-6E,57
water,superheated,140,400,superheated,3.4676,1131.5,1221.4,1.6092,A-6E,57
water,superheated,160,400,superheated,3.0076,1129.0,1218.0,1.5914,A-6E,57
water,superheated,120,450,superheated,4.3613,1154.5,1251.4,1.6594,A-6E,57
water,superheated,140,450,superheated,3.7147,1152.6,1248.9,1.6403,A-6E,57
water,superheated,160,450,superheated,3.2293,1150.7,1246.3,1.6234,A-6E,57
water,superheated,120,500,superheated,4.6340,1174.4,1277.3,1.6872,A-6E,57
water,superheated,140,500,superheated,3.9525,1172.9,1275.3,1.6686,A-6E,57
water,superheated,160,500,superheated,3.4412,1171.4,1273.2,1.6522,A-6E,57
water,superheated,120,550,superheated,4.9010,1193.9,1302.8,1.7131,A-6E,57
water,superheated,140,550,superheated,4.1845,1192.7,1301.1,1.6948,A-6E,57
water,superheated,160,550,superheated,3.6469,1191.4,1299.4,1.6788,A-6E,57
water,superheated,120,600,superheated,5.1642,1213.4,1328.0,1.7375,A-6E,57
water,superheated,140,600,superheated,4.4124,1212.3,1326.6,1.7195,A-6E,57
water,superheated,160,600,superheated,3.8484,1211.3,1325.2,1.7037,A-6E,57
water,superheated,120,700,superheated,5.6829,1252.2,1378.4,1.7829,A-6E,57
water,superheated,140,700,superheated,4.8604,1251.4,1377.3,1.7652,A-6E,57
water,superheated,160,700,superheated,4.2434,1250.6,1376.3,1.7498,A-6E,57
water,superheated,120,800,superheated,6.1950,1291.4,1429.0,1.8247,A-6E,57
water,superheated,140,800,superheated,5.3017,1290.8,1428.1,1.8072,A-6E,57
water,superheated,160,800,superheated,4.6316,1290.2,1427.3,1.7920,A-6E,57
water,superheated,120,1000,superheated,7.2083,1371.7,1531.8,1.9005,A-6E,57
water,superheated,140,1000,superheated,6.1732,1371.3,1531.3,1.8832,A-6E,57
water,superheated,160,1000,superheated,5.3968,1370.9,1530.7,1.8682,A-6E,57
water,superheated,120,1200,superheated,8.2137,1455.3,1637.7,1.9684,A-6E,57
water,superheated,140,1200,superheated,7.0367,1455.0,1637.3,1.9512,A-6E,57
