fluid,region,pressure_MPa,T_C,row_type,v_m3_kg,u_kJ_kg,h_kJ_kg,s_kJ_kg_K,source_table,source_page
water,compressed_liquid,5,Sat.,saturated_reference,0.0012862,1148.1,1154.5,2.9207,A-7,16
water,compressed_liquid,10,Sat.,saturated_reference,0.0014522,1393.3,1407.9,3.3603,A-7,16
water,compressed_liquid,15,Sat.,saturated_reference,0.0016572,1585.5,1610.3,3.6848,A-7,16
water,compressed_liquid,5,0,compressed_liquid,0.0009977,0.04,5.03,0.0001,A-7,16
water,compressed_liquid,10,0,compressed_liquid,0.0009952,0.12,10.07,0.0003,A-7,16
water,compressed_liquid,15,0,compressed_liquid,0.0009928,0.18,15.07,0.0004,A-7,16
water,compressed_liquid,5,20,compressed_liquid,0.0009996,83.61,88.61,0.2954,A-7,16
water,compressed_liquid,10,20,compressed_liquid,0.0009973,83.31,93.28,0.2943,A-7,16
water,compressed_liquid,15,20,compressed_liquid,0.0009951,83.01,97.93,0.2932,A-7,16
water,compressed_liquid,5,40,compressed_liquid,0.0010057,166.92,171.95,0.5705,A-7,16
water,compressed_liquid,10,40,compressed_liquid,0.0010035,166.33,176.37,0.5685,A-7,16
water,compressed_liquid,15,40,compressed_liquid,0.0010013,165.75,180.77,0.5666,A-7,16
water,compressed_liquid,5,60,compressed_liquid,0.0010149,250.29,255.36,0.8287,A-7,16
water,compressed_liquid,10,60,compressed_liquid,0.0010127,249.43,259.55,0.8260,A-7,16
water,compressed_liquid,15,60,compressed_liquid,0.0010105,248.58,263.74,0.8234,A-7,16
water,compressed_liquid,5,80,compressed_liquid,0.0010267,333.82,338.96,1.0723,A-7,16
water,compressed_liquid,10,80,compressed_liquid,0.0010244,332.69,342.94,1.0691,A-7,16
water,compressed_liquid,15,80,compressed_liquid,0.0010221,331.59,346.92,1.0659,A-7,16
water,compressed_liquid,5,100,compressed_liquid,0.0010410,417.65,422.85,1.3034,A-7,16
water,compressed_liquid,10,100,compressed_liquid,0.0010385,416.23,426.62,1.2996,A-7,16
water,compressed_liquid,15,100,compressed_liquid,0.0010361,414.85,430.39,1.2958,A-7,16
water,compressed_liquid,5,120,compressed_liquid,0.0010576,501.91,507.19,1.5236,A-7,16
water,compressed_liquid,10,120,compressed_liquid,0.0010549,500.18,510.73,1.5191,A-7,16
water,compressed_liquid,15,120,compressed_liquid,0.0010522,498.50,514.28,1.5148,A-7,16
water,compressed_liquid,5,140,compressed_liquid,0.0010769,586.80,592.18,1.7344,A-7,16
water,compressed_liquid,10,140,compressed_liquid,0.0010738,584.72,595.45,1.7293,A-7,16
water,compressed_liquid,15,140,compressed_liquid,0.0010708,582.69,598.75,1.7243,A-7,16
water,compressed_liquid,5,160,compressed_liquid,0.0010988,672.55,678.04,1.9374,A-7,16
water,compressed_liquid,10,160,compressed_liquid,0.0010954,670.06,681.01,1.9316,A-7,16
water,compressed_liquid,15,160,compressed_liquid,0.0010920,667.63,684.01,1.9259,A-7,16
water,compressed_liquid,5,180,compressed_liquid,0.0011240,759.47,765.09,2.1338,A-7,16
water,compressed_liquid,10,180,compressed_liquid,0.0011200,756.48,767.68,2.1271,A-7,16
water,compressed_liquid,15,180,compressed_liquid,0.0011160,753.58,770.32,2.1206,A-7,16
water,compressed_liquid,5,200,compressed_liquid,0.0011531,847.92,853.68,2.3251,A-7,16
water,compressed_liquid,10,200,compressed_liquid,0.0011482,844.32,855.80,2.3174,A-7,16
water,compressed_liquid,15,200,compressed_liquid,0.0011435,840.84,858.00,2.3100,A-7,16
water,compressed_liquid,5,220,compressed_liquid,0.0011868,938.39,944.32,2.5127,A-7,16
water,compressed_liquid,10,220,compressed_liquid,0.0011809,934.01,945.82,2.5037,A-7,16
water,compressed_liquid,15,220,compressed_liquid,0.0011752,929.81,947.43,2.4951,A-7,16
water,compressed_liquid,5,240,compressed_liquid,0.0012268,1031.6,1037.7,2.6983,A-7,16
water,compressed_liquid,10,240,compressed_liquid,0.0012192,1026.2,1038.3,2.6876,A-7,16
water,compressed_liquid,15,240,compressed_liquid,0.0012121,1021.0,1039.2,2.6774,A-7,16
water,compressed_liquid,5,260,compressed_liquid,0.0012755,1128.5,1134.9,2.8841,A-7,16
water,compressed_liquid,10,260,compressed_liquid,0.0012653,1121.6,1134.3,2.8710,A-7,16
water,compressed_liquid,15,260,compressed_liquid,0.0012560,1115.1,1134.0,2.8586,A-7,16
water,compressed_liquid,10,280,compressed_liquid,0.0013226,1221.8,1235.0,3.0565,A-7,16
water,compressed_liquid,15,280,compressed_liquid,0.0013096,1213.4,1233.0,3.0410,A-7,16
water,compressed_liquid,10,300,compressed_liquid,0.0013980,1329.4,1343.3,3.2488,A-7,16
water,compressed_liquid,15,300,compressed_liquid,0.0013783,1317.6,1338.3,3.2279,A-7,16
water,compressed_liquid,15,320,compressed_liquid,0.0014733,1431.9,1454.0,3.4263,A-7,16
water,compressed_liquid,15,340,compressed_liquid,0.0016311,1567.9,1592.4,3.6555,A-7,16
water,compressed_liquid,20,Sat.,saturated_reference,0.0020378,1785.8,1826.6,4.0146,A-7,16
water,compressed_liquid,20,0,compressed_liquid,0.0009904,0.23,20.03,0.0005,A-7,16
water,compressed_liquid,30,0,compressed_liquid,0.0009857,0.29,29.86,0.0003,A-7,16
water,compressed_liquid,50,0,compressed_liquid,0.0009767,0.29,49.13,20.0010,A-7,16
water,compressed_liquid,20,20,compressed_liquid,0.0009929,82.71,102.57,0.2921,A-7,16
water,compressed_liquid,30,20,compressed_liquid,0.0009886,82.11,111.77,0.2897,A-7,16
water,compressed_liquid,50,20,compressed_liquid,0.0009805,80.93,129.95,0.2845,A-7,16
water,compressed_liquid,20,40,compressed_liquid,0.0009992,165.17,185.16,0.5646,A-7,16
water,compressed_liquid,30,40,compressed_liquid,0.0009951,164.05,193.90,0.5607,A-7,16
water,compressed_liquid,50,40,compressed_liquid,0.0009872,161.90,211.25,0.5528,A-7,16
water,compressed_liquid,20,60,compressed_liquid,0.0010084,247.75,267.92,0.8208,A-7,16
water,compressed_liquid,30,60,compressed_liquid,0.0010042,246.14,276.26,0.8156,A-7,16
water,compressed_liquid,50,60,compressed_liquid,0.0009962,243.08,292.88,0.8055,A-7,16
water,compressed_liquid,20,80,compressed_liquid,0.0010199,330.50,350.90,1.0627,A-7,16
water,compressed_liquid,30,80,compressed_liquid,0.0010155,328.40,358.86,1.0564,A-7,16
water,compressed_liquid,50,80,compressed_liquid,0.0010072,324.42,374.78,1.0442,A-7,16
water,compressed_liquid,20,100,compressed_liquid,0.0010337,413.50,434.17,1.2920,A-7,16
water,compressed_liquid,30,100,compressed_liquid,0.0010290,410.87,441.74,1.2847,A-7,16
water,compressed_liquid,50,100,compressed_liquid,0.0010201,405.94,456.94,1.2705,A-7,16
water,compressed_liquid,20,120,compressed_liquid,0.0010496,496.85,517.84,1.5105,A-7,16
water,compressed_liquid,30,120,compressed_liquid,0.0010445,493.66,525.00,1.5020,A-7,16
water,compressed_liquid,50,120,compressed_liquid,0.0010349,487.69,539.43,1.4859,A-7,16
water,compressed_liquid,20,140,compressed_liquid,0.0010679,580.71,602.07,1.7194,A-7,16
water,compressed_liquid,30,140,compressed_liquid,0.0010623,576.90,608.76,1.7098,A-7,16
water,compressed_liquid,50,140,compressed_liquid,0.0010517,569.77,622.36,1.6916,A-7,16
water,compressed_liquid,20,160,compressed_liquid,0.0010886,665.28,687.05,1.9203,A-7,16
water,compressed_liquid,30,160,compressed_liquid,0.0010823,660.74,693.21,1.9094,A-7,16
water,compressed_liquid,50,160,compressed_liquid,0.0010704,652.33,705.85,1.8889,A-7,16
water,compressed_liquid,20,180,compressed_liquid,0.0011122,750.78,773.02,2.1143,A-7,16
water,compressed_liquid,30,180,compressed_liquid,0.0011049,745.40,778.55,2.1020,A-7,16
water,compressed_liquid,50,180,compressed_liquid,0.0010914,735.49,790.06,2.0790,A-7,16
water,compressed_liquid,20,200,compressed_liquid,0.0011390,837.49,860.27,2.3027,A-7,16
water,compressed_liquid,30,200,compressed_liquid,0.0011304,831.11,865.02,2.2888,A-7,16
water,compressed_liquid,50,200,compressed_liquid,0.0011149,819.45,875.19,2.2628,A-7,16
water,compressed_liquid,20,220,compressed_liquid,0.0011697,925.77,949.16,2.4867,A-7,16
water,compressed_liquid,30,220,compressed_liquid,0.0011595,918.15,952.93,2.4707,A-7,16
water,compressed_liquid,50,220,compressed_liquid,0.0011412,904.39,961.45,2.4414,A-7,16
water,compressed_liquid,20,240,compressed_liquid,0.0012053,1016.1,1040.2,2.6676,A-7,16
water,compressed_liquid,30,240,compressed_liquid,0.0011927,1006.9,1042.7,2.6491,A-7,16
water,compressed_liquid,50,240,compressed_liquid,0.0011708,990.55,1049.1,2.6156,A-7,16
water,compressed_liquid,20,260,compressed_liquid,0.0012472,1109.0,1134.0,2.8469,A-7,16
water,compressed_liquid,30,260,compressed_liquid,0.0012314,1097.8,1134.7,2.8250,A-7,16
water,compressed_liquid,50,260,compressed_liquid,0.0012044,1078.2,1138.4,2.7864,A-7,16
water,compressed_liquid,20,280,compressed_liquid,0.0012978,1205.6,1231.5,3.0265,A-7,16
water,compressed_liquid,30,280,compressed_liquid,0.0012770,1191.5,1229.8,3.0001,A-7,16
water,compressed_liquid,50,280,compressed_liquid,0.0012430,1167.7,1229.9,2.9547,A-7,16
water,compressed_liquid,20,300,compressed_liquid,0.0013611,1307.2,1334.4,3.2091,A-7,16
water,compressed_liquid,30,300,compressed_liquid,0.0013322,1288.9,1328.9,3.1761,A-7,16
water,compressed_liquid,50,300,compressed_liquid,0.0012879,1259.6,1324.0,3.1218,A-7,16
water,compressed_liquid,20,320,compressed_liquid,0.0014450,1416.6,1445.5,3.3996,A-7,16
water,compressed_liquid,30,320,compressed_liquid,0.0014014,1391.7,1433.7,3.3558,A-7,16
water,compressed_liquid,50,320,compressed_liquid,0.0013409,1354.3,1421.4,3.2888,A-7,16
water,compressed_liquid,20,340,compressed_liquid,0.0015693,1540.2,1571.6,3.6086,A-7,16
water,compressed_liquid,30,340,compressed_liquid,0.0014932,1502.4,1547.1,3.5438,A-7,16
water,compressed_liquid,50,340,compressed_liquid,0.0014049,1452.9,1523.1,3.4575,A-7,16
water,compressed_liquid,20,360,compressed_liquid,0.0018248,1703.6,1740.1,3.8787,A-7,16
water,compressed_liquid,30,360,compressed_liquid,0.0016276,1626.8,1675.6,3.7499,A-7,16
water,compressed_liquid,50,360,compressed_liquid,0.0014848,1556.5,1630.7,3.6301,A-7,16
water,compressed_liquid,30,380,compressed_liquid,0.0018729,1782.0,1838.2,4.0026,A-7,16
water,compressed_liquid,50,380,compressed_liquid,0.0015884,1667.1,1746.5,3.8102,A-7,16
