fluid,region,pressure_psia,T_F,row_type,v_ft3_lbm,u_Btu_lbm,h_Btu_lbm,s_Btu_lbm_R,source_table,source_page
water,compressed_liquid,500,Sat.,saturated_reference,0.019750,447.68,449.51,0.64900,A-7E,60
water,compressed_liquid,1000,Sat.,saturated_reference,0.021595,538.58,542.57,0.74341,A-7E,60
water,compressed_liquid,1500,Sat.,saturated_reference,0.023456,605.07,611.58,0.80836,A-7E,60
water,compressed_liquid,500,32,compressed_liquid,0.015994,0.01,1.49,0.00001,A-7E,60
water,compressed_liquid,1000,32,compressed_liquid,0.015966,0.03,2.99,0.00005,A-7E,60
water,compressed_liquid,1500,32,compressed_liquid,0.015939,0.05,4.48,0.00008,A-7E,60
water,compressed_liquid,500,50,compressed_liquid,0.015998,18.03,19.51,0.03601,A-7E,60
water,compressed_liquid,1000,50,compressed_liquid,0.015972,17.99,20.95,0.03593,A-7E,60
water,compressed_liquid,1500,50,compressed_liquid,0.015946,17.95,22.38,0.03584,A-7E,60
water,compressed_liquid,500,100,compressed_liquid,0.016107,67.86,69.35,0.12930,A-7E,60
water,compressed_liquid,1000,100,compressed_liquid,0.016083,67.69,70.67,0.12899,A-7E,60
water,compressed_liquid,1500,100,compressed_liquid,0.016059,67.53,71.98,0.12869,A-7E,60
water,compressed_liquid,500,150,compressed_liquid,0.016317,117.70,119.21,0.21462,A-7E,60
water,compressed_liquid,1000,150,compressed_liquid,0.016292,117.42,120.43,0.21416,A-7E,60
water,compressed_liquid,1500,150,compressed_liquid,0.016267,117.14,121.66,0.21369,A-7E,60
water,compressed_liquid,500,200,compressed_liquid,0.016607,167.70,169.24,0.29349,A-7E,60
water,compressed_liquid,1000,200,compressed_liquid,0.016580,167.31,170.38,0.29289,A-7E,60
water,compressed_liquid,1500,200,compressed_liquid,0.016553,166.92,171.52,0.29229,A-7E,60
water,compressed_liquid,500,250,compressed_liquid,0.016972,218.04,219.61,0.36708,A-7E,60
water,compressed_liquid,1000,250,compressed_liquid,0.016941,217.51,220.65,0.36634,A-7E,60
water,compressed_liquid,1500,250,compressed_liquid,0.016911,217.00,221.69,0.36560,A-7E,60
water,compressed_liquid,500,300,compressed_liquid,0.017417,268.92,270.53,0.43641,A-7E,60
water,compressed_liquid,1000,300,compressed_liquid,0.017380,268.24,271.46,0.43551,A-7E,60
water,compressed_liquid,1500,300,compressed_liquid,0.017345,267.57,272.39,0.43463,A-7E,60
water,compressed_liquid,500,350,compressed_liquid,0.017954,320.64,322.30,0.50240,A-7E,60
water,compressed_liquid,1000,350,compressed_liquid,0.017910,319.77,323.08,0.50132,A-7E,60
water,compressed_liquid,1500,350,compressed_liquid,0.017866,318.91,323.87,0.50025,A-7E,60
water,compressed_liquid,500,400,compressed_liquid,0.018609,373.61,375.33,0.56595,A-7E,60
water,compressed_liquid,1000,400,compressed_liquid,0.018552,372.48,375.91,0.56463,A-7E,60
water,compressed_liquid,1500,400,compressed_liquid,0.018496,371.37,376.51,0.56333,A-7E,60
water,compressed_liquid,500,450,compressed_liquid,0.019425,428.44,430.24,0.62802,A-7E,60
water,compressed_liquid,1000,450,compressed_liquid,0.019347,426.93,430.51,0.62635,A-7E,60
water,compressed_liquid,1500,450,compressed_liquid,0.019271,425.47,430.82,0.62472,A-7E,60
water,compressed_liquid,1000,500,compressed_liquid,0.020368,484.03,487.80,0.68764,A-7E,60
water,compressed_liquid,1500,500,compressed_liquid,0.020258,482.01,487.63,0.68550,A-7E,60
water,compressed_liquid,1500,550,compressed_liquid,0.021595,542.50,548.50,0.74731,A-7E,60
water,compressed_liquid,2000,Sat.,saturated_reference,0.025634,662.33,671.82,0.86224,A-7E,60
water,compressed_liquid,3000,Sat.,saturated_reference,0.034335,783.39,802.45,0.97321,A-7E,60
water,compressed_liquid,2000,32,compressed_liquid,0.015912,0.07,5.96,0.00010,A-7E,60
water,compressed_liquid,3000,32,compressed_liquid,0.015859,0.10,8.90,0.00011,A-7E,60
water,compressed_liquid,5000,32,compressed_liquid,0.015756,0.13,14.71,0.00002,A-7E,60
water,compressed_liquid,2000,50,compressed_liquid,0.015921,17.91,23.80,0.03574,A-7E,60
water,compressed_liquid,3000,50,compressed_liquid,0.015870,17.83,26.64,0.03554,A-7E,60
water,compressed_liquid,5000,50,compressed_liquid,0.015773,17.65,32.25,0.03505,A-7E,60
water,compressed_liquid,2000,100,compressed_liquid,0.016035,67.36,73.30,0.12838,A-7E,60
water,compressed_liquid,3000,100,compressed_liquid,0.015988,67.04,75.91,0.12776,A-7E,60
water,compressed_liquid,5000,100,compressed_liquid,0.015897,66.41,81.12,0.12652,A-7E,60
water,compressed_liquid,2000,200,compressed_liquid,0.016527,166.54,172.66,0.29170,A-7E,60
water,compressed_liquid,3000,200,compressed_liquid,0.016475,165.79,174.94,0.29053,A-7E,60
water,compressed_liquid,5000,200,compressed_liquid,0.016375,164.36,179.51,0.28824,A-7E,60
water,compressed_liquid,2000,300,compressed_liquid,0.017310,266.92,273.33,0.43376,A-7E,60
water,compressed_liquid,3000,300,compressed_liquid,0.017242,265.65,275.22,0.43204,A-7E,60
water,compressed_liquid,5000,300,compressed_liquid,0.017112,263.24,279.07,0.42874,A-7E,60
water,compressed_liquid,2000,400,compressed_liquid,0.018442,370.30,377.12,0.56205,A-7E,60
water,compressed_liquid,3000,400,compressed_liquid,0.018338,368.22,378.41,0.55959,A-7E,60
water,compressed_liquid,5000,400,compressed_liquid,0.018145,364.35,381.14,0.55492,A-7E,60
water,compressed_liquid,2000,450,compressed_liquid,0.019199,424.06,431.16,0.62314,A-7E,60
water,compressed_liquid,3000,450,compressed_liquid,0.019062,421.36,431.94,0.62010,A-7E,60
water,compressed_liquid,5000,450,compressed_liquid,0.018812,416.40,433.80,0.61445,A-7E,60
water,compressed_liquid,2000,500,compressed_liquid,0.020154,480.08,487.54,0.68346,A-7E,60
water,compressed_liquid,3000,500,compressed_liquid,0.019960,476.45,487.53,0.67958,A-7E,60
water,compressed_liquid,5000,500,compressed_liquid,0.019620,469.94,488.10,0.67254,A-7E,60
water,compressed_liquid,2000,560,compressed_liquid,0.021739,552.21,560.26,0.75692,A-7E,60
water,compressed_liquid,3000,560,compressed_liquid,0.021405,546.59,558.47,0.75126,A-7E,60
water,compressed_liquid,5000,560,compressed_liquid,0.020862,537.08,556.38,0.74154,A-7E,60
water,compressed_liquid,2000,600,compressed_liquid,0.023317,605.77,614.40,0.80898,A-7E,60
water,compressed_liquid,3000,600,compressed_liquid,0.022759,597.42,610.06,0.80086,A-7E,60
water,compressed_liquid,5000,600,compressed_liquid,0.021943,584.42,604.72,0.78803,A-7E,60
water,compressed_liquid,3000,640,compressed_liquid,0.024765,654.52,668.27,0.85476,A-7E,60
water,compressed_liquid,5000,640,compressed_liquid,0.023358,634.95,656.56,0.83603,A-7E,60
water,compressed_liquid,3000,680,compressed_liquid,0.028821,728.63,744.64,0.92288,A-7E,60
water,compressed_liquid,5000,680,compressed_liquid,0.025366,690.67,714.14,0.88745,A-7E,60
water,compressed_liquid,5000,700,compressed_liquid,0.026777,721.78,746.56,0.91564,A-7E,60
