T_F,P_sat_psia,v_i_ft3_lbm,v_g_ft3_lbm,u_i_Btu_lbm,u_ig_Btu_lbm,u_g_Btu_lbm,h_i_Btu_lbm,h_ig_Btu_lbm,h_g_Btu_lbm,s_i_Btu_lbm_R,s_ig_Btu_lbm_R,s_g_Btu_lbm_R
32.018,0.08871,0.01747,3299.6,-143.34,1164.2,1020.9,-143.34,1218.3,1075.0,-0.29146,2.4779,2.1864
32,0.08864,0.01747,3302.6,-143.35,1164.2,1020.9,-143.35,1218.4,1075.0,-0.29148,2.4779,2.1865
30,0.08086,0.01747,3605.8,-144.35,1164.6,1020.2,-144.35,1218.5,1074.2,-0.29353,2.4883,2.1948
25,0.06405,0.01746,4505.8,-146.85,1165.4,1018.6,-146.85,1218.8,1072.0,-0.29865,2.5146,2.2160
20,0.05049,0.01746,5657.6,-149.32,1166.2,1016.9,-149.32,1219.1,1069.8,-0.30377,2.5414,2.2376
15,0.03960,0.01745,7138.9,-151.76,1167.0,1015.2,-151.76,1219.3,1067.6,-0.30889,2.5687,2.2598
10,0.03089,0.01744,9054.0,-154.18,1167.8,1013.6,-154.18,1219.5,1065.4,-0.31401,2.5965,2.2825
5,0.02397,0.01743,11543,-156.57,1168.5,1011.9,-156.57,1219.7,1063.1,-0.31913,2.6248,2.3057
0,0.01850,0.01743,14797,-158.94,1169.2,1010.3,-158.94,1219.9,1060.9,-0.32426,2.6537,2.3295
-5,0.01420,0.01742,19075,-161.28,1169.9,1008.6,-161.28,1220.0,1058.7,-0.32938,2.6832,2.3538
-10,0.01083,0.01741,24731,-163.60,1170.6,1007.0,-163.60,1220.1,1056.5,-0.33451,2.7133,2.3788
-15,0.00821,0.01740,32257,-165.90,1171.2,1005.3,-165.90,1220.2,1054.3,-0.33964,2.7440,2.4044
-20,0.00619,0.01740,42335,-168.16,1171.8,1003.6,-168.16,1220.3,1052.1,-0.34478,2.7754,2.4306
-25,0.00463,0.01739,55917,-170.41,1172.4,1002.0,-170.41,1220.3,1049.9,-0.34991,2.8074,2.4575
-30,0.00344,0.01738,74345,-172.63,1173.0,1000.3,-172.63,1220.3,1047.7,-0.35505,2.8401,2.4850
-35,0.00254,0.01738,99526,-174.83,1173.5,998.7,-174.83,1220.3,1045.5,-0.36019,2.8735,2.5133
-40,0.00186,0.01737,134182,-177.00,1174.0,997.0,-177.00,1220.3,1043.3,-0.36534,2.9076,2.5423
